Date,TotalBuy,TotalSell
05/01/2023 00:00:00,19255,1931
04/01/2023 00:00:00,35500,0
02/01/2023 00:00:00,252032,95446
01/01/2023 00:00:00,0,9
12/01/2022 00:00:00,0,3848
11/01/2022 00:00:00,1139,2663
10/01/2022 00:00:00,21250,21250
09/01/2022 00:00:00,0,364
08/01/2022 00:00:00,1165,0
07/01/2022 00:00:00,32857,14
06/01/2022 00:00:00,49909,51424
05/01/2022 00:00:00,2072,1856
04/01/2022 00:00:00,73092,43834
03/01/2022 00:00:00,26194,26694
02/01/2022 00:00:00,235441,182558
01/01/2022 00:00:00,0,50000
12/01/2021 00:00:00,1531,4063
11/01/2021 00:00:00,986,51500
10/01/2021 00:00:00,0,85961
09/01/2021 00:00:00,50000,67039
08/01/2021 00:00:00,1122,6841
07/01/2021 00:00:00,0,1999
06/01/2021 00:00:00,0,1469
05/01/2021 00:00:00,986,0
04/01/2021 00:00:00,25460,0
03/01/2021 00:00:00,65305,65305
02/01/2021 00:00:00,193623,84200
12/01/2020 00:00:00,37118,39151
11/01/2020 00:00:00,1593,0
10/01/2020 00:00:00,0,21600
08/01/2020 00:00:00,1957,324
07/01/2020 00:00:00,0,16
06/01/2020 00:00:00,0,933
05/01/2020 00:00:00,111048,108760
04/01/2020 00:00:00,50540,0
03/01/2020 00:00:00,55372,31639
02/01/2020 00:00:00,183200,51309
01/01/2020 00:00:00,0,3326
12/01/2019 00:00:00,42014,29638
11/01/2019 00:00:00,1162,2
09/01/2019 00:00:00,0,11000
08/01/2019 00:00:00,1222,2324
07/01/2019 00:00:00,1000,10410
06/01/2019 00:00:00,8993,0
05/01/2019 00:00:00,1215,0
04/01/2019 00:00:00,23370,0
03/01/2019 00:00:00,180214,180214
02/01/2019 00:00:00,126029,45617
01/01/2019 00:00:00,41,3436
12/01/2018 00:00:00,7500,6122
11/01/2018 00:00:00,68084,69577
10/01/2018 00:00:00,6640,0
08/01/2018 00:00:00,5146,16517
07/01/2018 00:00:00,3000,0
06/01/2018 00:00:00,36000,0
05/01/2018 00:00:00,33554,38115
04/01/2018 00:00:00,18343,0
03/01/2018 00:00:00,93729,93729
02/01/2018 00:00:00,157459,88845
01/01/2018 00:00:00,0,2350
12/01/2017 00:00:00,31872,37997
11/01/2017 00:00:00,989,3478
10/01/2017 00:00:00,0,17125
09/01/2017 00:00:00,0,355
08/01/2017 00:00:00,1844,4402
07/01/2017 00:00:00,41482,56182
05/01/2017 00:00:00,78041,77961
04/01/2017 00:00:00,19602,15000
02/01/2017 00:00:00,62496,66013
