Date,TotalBuy,TotalSell
05/01/2023 00:00:00,81070,0
04/01/2023 00:00:00,1334,9515
03/01/2023 00:00:00,5734,27978
02/01/2023 00:00:00,353394,170108
01/01/2023 00:00:00,0,186
12/01/2022 00:00:00,0,500
11/01/2022 00:00:00,432,922
09/01/2022 00:00:00,0,500
08/01/2022 00:00:00,0,1499
06/01/2022 00:00:00,0,500
05/01/2022 00:00:00,64101,0
04/01/2022 00:00:00,1334,8039
03/01/2022 00:00:00,1334,24862
02/01/2022 00:00:00,237924,112884
01/01/2022 00:00:00,0,186
12/01/2021 00:00:00,0,1737
11/01/2021 00:00:00,0,859
10/01/2021 00:00:00,0,764
09/01/2021 00:00:00,0,500
06/01/2021 00:00:00,0,500
05/01/2021 00:00:00,35569,287
04/01/2021 00:00:00,4000,1989
03/01/2021 00:00:00,0,20364
02/01/2021 00:00:00,202223,18508
01/01/2021 00:00:00,1600,0
12/01/2020 00:00:00,0,108
11/01/2020 00:00:00,0,1054
10/01/2020 00:00:00,0,862
05/01/2020 00:00:00,64750,930
04/01/2020 00:00:00,7500,0
03/01/2020 00:00:00,197746,10028
02/01/2020 00:00:00,4645,94716
01/01/2020 00:00:00,119550,0
12/01/2019 00:00:00,0,500
11/01/2019 00:00:00,8412,313
10/01/2019 00:00:00,0,1769
09/01/2019 00:00:00,0,500
06/01/2019 00:00:00,0,500
05/01/2019 00:00:00,15798,545
03/01/2019 00:00:00,0,500
02/01/2019 00:00:00,105227,102677
01/01/2019 00:00:00,19188,0
12/01/2018 00:00:00,0,500
11/01/2018 00:00:00,0,9642
10/01/2018 00:00:00,7976,0
09/01/2018 00:00:00,0,500
08/01/2018 00:00:00,0,32798
06/01/2018 00:00:00,0,18039
05/01/2018 00:00:00,18208,0
04/01/2018 00:00:00,21506,14488
03/01/2018 00:00:00,0,500
02/01/2018 00:00:00,269216,118641
01/01/2018 00:00:00,36438,0
12/01/2017 00:00:00,0,500
11/01/2017 00:00:00,0,5000
10/01/2017 00:00:00,1500,0
09/01/2017 00:00:00,0,21120
08/01/2017 00:00:00,0,2160
06/01/2017 00:00:00,0,14738
05/01/2017 00:00:00,59844,49610
04/01/2017 00:00:00,21507,15174
03/01/2017 00:00:00,0,1000
02/01/2017 00:00:00,57973,23563
