Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,89
03/01/2023 00:00:00,159460,8429
12/01/2022 00:00:00,50000,20000
11/01/2022 00:00:00,0,5069
09/01/2022 00:00:00,57100,0
08/01/2022 00:00:00,46170,0
06/01/2022 00:00:00,26474,54
03/01/2022 00:00:00,272180,6503
12/01/2021 00:00:00,5967,5967
11/01/2021 00:00:00,81336,0
09/01/2021 00:00:00,0,1623
06/01/2021 00:00:00,0,17876
03/01/2021 00:00:00,499464,30537
02/01/2021 00:00:00,0,1624
12/01/2020 00:00:00,53207,42591
08/01/2020 00:00:00,11125,58750
07/01/2020 00:00:00,3806,3806
06/01/2020 00:00:00,105122,210244
05/01/2020 00:00:00,5000,60425
03/01/2020 00:00:00,5000,10000
02/01/2020 00:00:00,225760,0
12/01/2019 00:00:00,236673,518858
11/01/2019 00:00:00,114272,62076
09/01/2019 00:00:00,14500,5000
08/01/2019 00:00:00,136006,209754
05/01/2019 00:00:00,22000,36630
03/01/2019 00:00:00,261406,25591
02/01/2019 00:00:00,94000,215981
01/01/2019 00:00:00,65000,130000
12/01/2018 00:00:00,8612,0
11/01/2018 00:00:00,6667,13334
10/01/2018 00:00:00,128107,228936
08/01/2018 00:00:00,16000,21301
07/01/2018 00:00:00,83782,167564
06/01/2018 00:00:00,112000,111946
05/01/2018 00:00:00,21276,27606
03/01/2018 00:00:00,428690,12783
12/01/2017 00:00:00,16400,0
11/01/2017 00:00:00,54805,33334
10/01/2017 00:00:00,11500,23000
09/01/2017 00:00:00,100000,0
08/01/2017 00:00:00,78015,111675
07/01/2017 00:00:00,140696,198043
06/01/2017 00:00:00,3635000,0
05/01/2017 00:00:00,40000,0
04/01/2017 00:00:00,100000,4349
03/01/2017 00:00:00,300100,500
01/01/2017 00:00:00,0,4466
11/01/2016 00:00:00,6000,6000
10/01/2016 00:00:00,30000,64348
09/01/2016 00:00:00,0,7311
