Date,TotalBuy,TotalSell
06/01/2023 00:00:00,27883,2488
05/01/2023 00:00:00,97900,0
03/01/2023 00:00:00,177773,9950
01/01/2023 00:00:00,248443,0
12/01/2022 00:00:00,210214,0
09/01/2022 00:00:00,13075,48500
08/01/2022 00:00:00,11582,28164
06/01/2022 00:00:00,105956,68770
05/01/2022 00:00:00,210000,105000
03/01/2022 00:00:00,197635,1211
12/01/2021 00:00:00,0,6000
11/01/2021 00:00:00,105000,210000
10/01/2021 00:00:00,0,86577
09/01/2021 00:00:00,64047,164396
08/01/2021 00:00:00,79724,151706
07/01/2021 00:00:00,0,655
06/01/2021 00:00:00,7079,396682
05/01/2021 00:00:00,311715,895535
04/01/2021 00:00:00,0,217906
03/01/2021 00:00:00,333510,447556
02/01/2021 00:00:00,0,355931
01/01/2021 00:00:00,1367,896010
12/01/2020 00:00:00,0,11387
11/01/2020 00:00:00,130528,279879
09/01/2020 00:00:00,62900,272246
08/01/2020 00:00:00,72329,83204
07/01/2020 00:00:00,10585,4062
06/01/2020 00:00:00,41435,80000
05/01/2020 00:00:00,356454,564458
03/01/2020 00:00:00,328810,21452
01/01/2020 00:00:00,106922,254428
12/01/2019 00:00:00,77335,173743
11/01/2019 00:00:00,47876,67987
06/01/2019 00:00:00,23439,0
05/01/2019 00:00:00,107500,7500
04/01/2019 00:00:00,0,1000
03/01/2019 00:00:00,222097,16730
10/01/2018 00:00:00,0,114549
08/01/2018 00:00:00,0,5000
06/01/2018 00:00:00,188126,0
05/01/2018 00:00:00,38331,51662
03/01/2018 00:00:00,162031,13479
11/01/2017 00:00:00,12500,6000
09/01/2017 00:00:00,25000,0
06/01/2017 00:00:00,60516,0
03/01/2017 00:00:00,335000,11421
12/01/2016 00:00:00,25000,50000
08/01/2016 00:00:00,32761,0
06/01/2016 00:00:00,79523,0
05/01/2016 00:00:00,433365,35000
03/01/2016 00:00:00,341250,0
02/01/2016 00:00:00,0,25016
