Date,TotalBuy,TotalSell
06/01/2023 00:00:00,16164,650
05/01/2023 00:00:00,324,0
04/01/2023 00:00:00,1013,109800
03/01/2023 00:00:00,343782,153136
02/01/2023 00:00:00,53513,27556
01/01/2023 00:00:00,797,0
12/01/2022 00:00:00,0,3470
11/01/2022 00:00:00,49688,97540
10/01/2022 00:00:00,223140,466479
08/01/2022 00:00:00,51483,29796
07/01/2022 00:00:00,1302,0
06/01/2022 00:00:00,16870,17040
05/01/2022 00:00:00,20443,40186
04/01/2022 00:00:00,13058,12000
03/01/2022 00:00:00,396975,259728
02/01/2022 00:00:00,188007,44950
01/01/2022 00:00:00,1123,0
12/01/2021 00:00:00,0,234000
11/01/2021 00:00:00,7394,16559
10/01/2021 00:00:00,1144,8220
09/01/2021 00:00:00,0,244437
08/01/2021 00:00:00,452,222063
07/01/2021 00:00:00,1142,0
06/01/2021 00:00:00,23070,0
05/01/2021 00:00:00,700679,1672915
04/01/2021 00:00:00,241317,484882
03/01/2021 00:00:00,202521,170827
02/01/2021 00:00:00,324358,43416
01/01/2021 00:00:00,1671,0
12/01/2020 00:00:00,0,1872
11/01/2020 00:00:00,86137,21609
10/01/2020 00:00:00,2015,0
08/01/2020 00:00:00,1244,0
07/01/2020 00:00:00,2683,0
06/01/2020 00:00:00,48950,0
05/01/2020 00:00:00,524,0
04/01/2020 00:00:00,2494,0
03/01/2020 00:00:00,343698,118155
02/01/2020 00:00:00,458825,42602
01/01/2020 00:00:00,1748,0
11/01/2019 00:00:00,44844,15047
10/01/2019 00:00:00,1991,0
09/01/2019 00:00:00,8920,0
08/01/2019 00:00:00,450,0
07/01/2019 00:00:00,1976,500
06/01/2019 00:00:00,57430,0
05/01/2019 00:00:00,7805,0
04/01/2019 00:00:00,1478,0
03/01/2019 00:00:00,339571,119299
02/01/2019 00:00:00,453865,38934
01/01/2019 00:00:00,1158,0
11/01/2018 00:00:00,35568,23954
10/01/2018 00:00:00,957,0
09/01/2018 00:00:00,0,10800
08/01/2018 00:00:00,588,0
07/01/2018 00:00:00,811,0
06/01/2018 00:00:00,23670,73919
05/01/2018 00:00:00,0,20000
04/01/2018 00:00:00,799,0
03/01/2018 00:00:00,261976,85434
02/01/2018 00:00:00,355977,21197
01/01/2018 00:00:00,665,0
12/01/2017 00:00:00,0,1933
11/01/2017 00:00:00,57569,12616
10/01/2017 00:00:00,847,0
08/01/2017 00:00:00,623,0
07/01/2017 00:00:00,946,9986
06/01/2017 00:00:00,35310,1000
05/01/2017 00:00:00,1992,0
04/01/2017 00:00:00,995,0
03/01/2017 00:00:00,204741,208255
02/01/2017 00:00:00,276628,29083
01/01/2017 00:00:00,881,0
12/01/2016 00:00:00,0,2271
11/01/2016 00:00:00,8867,4185
