Date,TotalBuy,TotalSell
03/01/2023 00:00:00,11213,0
02/01/2023 00:00:00,285768,143911
09/01/2022 00:00:00,30001,1439
07/01/2022 00:00:00,47312,68083
05/01/2022 00:00:00,4054,12158
03/01/2022 00:00:00,125048,8545
02/01/2022 00:00:00,132347,109313
12/01/2021 00:00:00,5000,6446
11/01/2021 00:00:00,0,9235
09/01/2021 00:00:00,21000,4179
08/01/2021 00:00:00,0,5000
07/01/2021 00:00:00,47314,60383
06/01/2021 00:00:00,255000,510000
05/01/2021 00:00:00,4054,0
03/01/2021 00:00:00,167706,84258
02/01/2021 00:00:00,75421,90429
12/01/2020 00:00:00,5100,250
11/01/2020 00:00:00,8250,16500
09/01/2020 00:00:00,66000,0
07/01/2020 00:00:00,221058,0
06/01/2020 00:00:00,200000,200000
05/01/2020 00:00:00,0,6593
02/01/2020 00:00:00,362955,206397
11/01/2019 00:00:00,897577,1094377
08/01/2019 00:00:00,10274,10274
02/01/2019 00:00:00,443329,133816
01/01/2019 00:00:00,21388,27040
12/01/2018 00:00:00,4000,0
11/01/2018 00:00:00,15000,0
08/01/2018 00:00:00,45774,0
07/01/2018 00:00:00,0,25000
06/01/2018 00:00:00,0,25000
05/01/2018 00:00:00,75000,100000
04/01/2018 00:00:00,0,25000
03/01/2018 00:00:00,457959,980918
02/01/2018 00:00:00,275854,220662
01/01/2018 00:00:00,64164,25000
12/01/2017 00:00:00,175118,315236
11/01/2017 00:00:00,122605,173929
10/01/2017 00:00:00,0,25000
09/01/2017 00:00:00,132473,309860
08/01/2017 00:00:00,582272,1009919
07/01/2017 00:00:00,0,25000
06/01/2017 00:00:00,46500,118000
05/01/2017 00:00:00,86847,245901
