Date,TotalBuy,TotalSell
05/01/2023 00:00:00,29924,13300
02/01/2023 00:00:00,2974,3897
01/01/2023 00:00:00,0,2716
12/01/2022 00:00:00,0,3500
11/01/2022 00:00:00,293660,166885
08/01/2022 00:00:00,840,6698
06/01/2022 00:00:00,502,502
05/01/2022 00:00:00,18720,5420
04/01/2022 00:00:00,4426,6629
03/01/2022 00:00:00,0,10000
02/01/2022 00:00:00,2688,20000
01/01/2022 00:00:00,0,21500
12/01/2021 00:00:00,0,20000
11/01/2021 00:00:00,422233,327202
09/01/2021 00:00:00,9247,18494
08/01/2021 00:00:00,7531,49851
07/01/2021 00:00:00,672,672
05/01/2021 00:00:00,24708,17120
04/01/2021 00:00:00,4426,6626
02/01/2021 00:00:00,0,3750
01/01/2021 00:00:00,1000,2000
12/01/2020 00:00:00,0,6500
11/01/2020 00:00:00,245138,234298
10/01/2020 00:00:00,0,5000
09/01/2020 00:00:00,9125,37250
08/01/2020 00:00:00,7091,34767
07/01/2020 00:00:00,9797,18922
06/01/2020 00:00:00,0,36983
05/01/2020 00:00:00,39678,37511
04/01/2020 00:00:00,4426,7956
01/01/2020 00:00:00,14482,34964
12/01/2019 00:00:00,120000,265000
11/01/2019 00:00:00,345913,347315
10/01/2019 00:00:00,7253,14506
09/01/2019 00:00:00,1750,8500
08/01/2019 00:00:00,19770,31347
07/01/2019 00:00:00,25673,50673
06/01/2019 00:00:00,12250,27000
05/01/2019 00:00:00,56872,58863
04/01/2019 00:00:00,68750,158464
03/01/2019 00:00:00,5000,12351
02/01/2019 00:00:00,3000,7915
01/01/2019 00:00:00,0,2652
11/01/2018 00:00:00,286296,137278
10/01/2018 00:00:00,8500,17000
09/01/2018 00:00:00,13000,26000
08/01/2018 00:00:00,26250,48412
07/01/2018 00:00:00,12017,20000
05/01/2018 00:00:00,48475,39989
04/01/2018 00:00:00,9000,18000
03/01/2018 00:00:00,35750,81500
02/01/2018 00:00:00,32500,75000
01/01/2018 00:00:00,7800,15600
12/01/2017 00:00:00,30645,70442
11/01/2017 00:00:00,338288,295485
10/01/2017 00:00:00,10750,24608
09/01/2017 00:00:00,3705,7410
08/01/2017 00:00:00,6250,13109
07/01/2017 00:00:00,1129,9554
06/01/2017 00:00:00,3500,7000
05/01/2017 00:00:00,116102,200074
04/01/2017 00:00:00,0,1500
03/01/2017 00:00:00,0,1500
02/01/2017 00:00:00,0,33700
