Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,220
05/01/2023 00:00:00,38904,5504
04/01/2023 00:00:00,0,299
03/01/2023 00:00:00,0,146
02/01/2023 00:00:00,26239,11525
01/01/2023 00:00:00,176104,18872
12/01/2022 00:00:00,125612,397
10/01/2022 00:00:00,2507,0
07/01/2022 00:00:00,2426,23703
06/01/2022 00:00:00,0,247
05/01/2022 00:00:00,70156,22256
03/01/2022 00:00:00,89770,42736
02/01/2022 00:00:00,0,3847
01/01/2022 00:00:00,67175,43537
12/01/2021 00:00:00,0,7800
11/01/2021 00:00:00,0,1869
09/01/2021 00:00:00,0,9471
08/01/2021 00:00:00,35553,75816
07/01/2021 00:00:00,660,1490
06/01/2021 00:00:00,11691,60568240
05/01/2021 00:00:00,23640,43961456
04/01/2021 00:00:00,17398,57571
03/01/2021 00:00:00,60601,45311753
02/01/2021 00:00:00,0,92900
01/01/2021 00:00:00,91910,47405
12/01/2020 00:00:00,0,31373576
11/01/2020 00:00:00,94,8795
09/01/2020 00:00:00,0,59195372
08/01/2020 00:00:00,0,14467
07/01/2020 00:00:00,55387,94892
05/01/2020 00:00:00,28030,2500
04/01/2020 00:00:00,377,3588
03/01/2020 00:00:00,71477,36352
02/01/2020 00:00:00,0,17018
01/01/2020 00:00:00,97124,32220
12/01/2019 00:00:00,0,1024
11/01/2019 00:00:00,1909,1070
08/01/2019 00:00:00,0,4178
07/01/2019 00:00:00,0,1179
05/01/2019 00:00:00,37098,0
04/01/2019 00:00:00,0,5504340
02/01/2019 00:00:00,14840,46673
01/01/2019 00:00:00,91404,10450
12/01/2018 00:00:00,6030,0
11/01/2018 00:00:00,10564,24
09/01/2018 00:00:00,0,4356
08/01/2018 00:00:00,0,12004178
07/01/2018 00:00:00,0,1181
05/01/2018 00:00:00,49877,0
02/01/2018 00:00:00,268256,109316
01/01/2018 00:00:00,0,7855
09/01/2017 00:00:00,141340,293658
08/01/2017 00:00:00,249765,383912
07/01/2017 00:00:00,0,2044
06/01/2017 00:00:00,15384,33178
05/01/2017 00:00:00,33704,18934
04/01/2017 00:00:00,4733,9466
03/01/2017 00:00:00,9856,17656
02/01/2017 00:00:00,543,0
01/01/2017 00:00:00,148645,55206
