Date,TotalBuy,TotalSell
06/01/2023 00:00:00,4345,6304
05/01/2023 00:00:00,193408.06179999997,0
04/01/2023 00:00:00,198611.6255,167000
03/01/2023 00:00:00,484655.3714,689858.02
02/01/2023 00:00:00,462681.5367,90266
01/01/2023 00:00:00,2622953.7282,2235023.3499999996
12/01/2022 00:00:00,12372.062600000001,0
11/01/2022 00:00:00,84458.7786,95290
10/01/2022 00:00:00,53602.613900000004,0
09/01/2022 00:00:00,14848.087999999998,0
08/01/2022 00:00:00,12841.9715,0
07/01/2022 00:00:00,50588.65609999999,0
06/01/2022 00:00:00,9602.4807,0
05/01/2022 00:00:00,575977.9005,1000.4335
04/01/2022 00:00:00,21040.389600000002,0
03/01/2022 00:00:00,5103.668800000001,58525.751800000005
02/01/2022 00:00:00,730262.1812999999,687417
01/01/2022 00:00:00,1339558.3871,1316400.4000000001
12/01/2021 00:00:00,3896.4634,0
11/01/2021 00:00:00,122869.5295,40793
10/01/2021 00:00:00,84973.0346,50000
09/01/2021 00:00:00,3548.7965999999997,0
08/01/2021 00:00:00,3493.8584000000005,0
07/01/2021 00:00:00,31837.798700000003,1318
06/01/2021 00:00:00,3261.195,0
05/01/2021 00:00:00,157630.2039,0
04/01/2021 00:00:00,103183.46979999999,33826
03/01/2021 00:00:00,5513.9852,83745.5383
02/01/2021 00:00:00,696100.2219,686469
01/01/2021 00:00:00,1040831.6987999999,1221878.9000000004
12/01/2020 00:00:00,22729.2834,36340
11/01/2020 00:00:00,4560.8698,111000
10/01/2020 00:00:00,54610.2429,118428
09/01/2020 00:00:00,4599.2632,0
08/01/2020 00:00:00,104393.44159999999,106824
07/01/2020 00:00:00,174891.0207,0
06/01/2020 00:00:00,44316.1058,40704
05/01/2020 00:00:00,385248.3789,717785
04/01/2020 00:00:00,797960.3775,0
03/01/2020 00:00:00,10003.3105,118962.81659999999
02/01/2020 00:00:00,510980.0436,91247
01/01/2020 00:00:00,1637085.4923,1808432
12/01/2019 00:00:00,126714.5138,1980
11/01/2019 00:00:00,6690.5566,2625
10/01/2019 00:00:00,33051.1187,91125
09/01/2019 00:00:00,7049.715,0
08/01/2019 00:00:00,9950.5478,4208
07/01/2019 00:00:00,41183.20480000001,45149
06/01/2019 00:00:00,8894.6927,0
05/01/2019 00:00:00,60796.1652,100504
04/01/2019 00:00:00,119741.18959999997,0
03/01/2019 00:00:00,13881.219000000001,122167.0846
02/01/2019 00:00:00,531465.2501000001,39640
01/01/2019 00:00:00,1548223.3143000004,1516979.1199999999
12/01/2018 00:00:00,9712.332999999999,0
11/01/2018 00:00:00,9029.9192,3557
10/01/2018 00:00:00,44625.5152,242406.84
09/01/2018 00:00:00,8211.733,0
08/01/2018 00:00:00,16285.147200000001,0
07/01/2018 00:00:00,293831.8744,0
06/01/2018 00:00:00,29359.1964,1102
05/01/2018 00:00:00,7442.362899999999,0
04/01/2018 00:00:00,118007.80829999999,0
03/01/2018 00:00:00,9273.0308,111854.5307
02/01/2018 00:00:00,1630666.9881999998,987326.5899999997
01/01/2018 00:00:00,506850.34510000004,633337
12/01/2017 00:00:00,5291.9242,0
11/01/2017 00:00:00,5655.58,0
10/01/2017 00:00:00,87800.2232,0
09/01/2017 00:00:00,40438.080400000006,1644
08/01/2017 00:00:00,5200.841200000001,0
07/01/2017 00:00:00,49330.2121,0
06/01/2017 00:00:00,5239.1603000000005,0
05/01/2017 00:00:00,4864.926100000001,0
04/01/2017 00:00:00,125274.18310000002,0
03/01/2017 00:00:00,2847.6802,0
