Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,37466
05/01/2023 00:00:00,14874,6000
04/01/2023 00:00:00,4522,0
03/01/2023 00:00:00,223410,57226
02/01/2023 00:00:00,63958,729600
01/01/2023 00:00:00,13,5000
12/01/2022 00:00:00,0,2
11/01/2022 00:00:00,0,52979
10/01/2022 00:00:00,25,306
07/01/2022 00:00:00,25,0
05/01/2022 00:00:00,30988,2000
04/01/2022 00:00:00,79646,28758
03/01/2022 00:00:00,370009,110494
02/01/2022 00:00:00,0,19218
01/01/2022 00:00:00,575,0
12/01/2021 00:00:00,378,0
11/01/2021 00:00:00,5096,51804
10/01/2021 00:00:00,613,0
09/01/2021 00:00:00,512,0
08/01/2021 00:00:00,413,4892
07/01/2021 00:00:00,328,0
06/01/2021 00:00:00,655,0
05/01/2021 00:00:00,18864,151323
04/01/2021 00:00:00,1061,0
03/01/2021 00:00:00,232785,160947
02/01/2021 00:00:00,91852,464609
01/01/2021 00:00:00,2549,10000
12/01/2020 00:00:00,414,0
11/01/2020 00:00:00,870,18932
10/01/2020 00:00:00,1010,22065
09/01/2020 00:00:00,5057,2853
08/01/2020 00:00:00,1768,5814
07/01/2020 00:00:00,1336,0
06/01/2020 00:00:00,1630,12479
05/01/2020 00:00:00,55644,0
04/01/2020 00:00:00,5724,37873
03/01/2020 00:00:00,57630,144364
02/01/2020 00:00:00,492158,152696
01/01/2020 00:00:00,698,50625
12/01/2019 00:00:00,685,26811
11/01/2019 00:00:00,526,61680
10/01/2019 00:00:00,696,0
09/01/2019 00:00:00,848,0
08/01/2019 00:00:00,652,16585
07/01/2019 00:00:00,527,0
06/01/2019 00:00:00,3208,1602653
05/01/2019 00:00:00,49399,0
04/01/2019 00:00:00,7681,3060
03/01/2019 00:00:00,1508766,3531109
02/01/2019 00:00:00,26860,151454
01/01/2019 00:00:00,527,1259
12/01/2018 00:00:00,521,73
11/01/2018 00:00:00,480,22871
10/01/2018 00:00:00,1011,0
09/01/2018 00:00:00,602,21937
08/01/2018 00:00:00,377,16929
07/01/2018 00:00:00,354,0
06/01/2018 00:00:00,365,33716
05/01/2018 00:00:00,33514,16737
04/01/2018 00:00:00,8963,2178
03/01/2018 00:00:00,399570,178500
02/01/2018 00:00:00,182946,14364
01/01/2018 00:00:00,317,11375
12/01/2017 00:00:00,329,14850
11/01/2017 00:00:00,328,79195
10/01/2017 00:00:00,469,10200
09/01/2017 00:00:00,1802976,1852023
08/01/2017 00:00:00,3389,46956
07/01/2017 00:00:00,408,10996
06/01/2017 00:00:00,446,38000
05/01/2017 00:00:00,0,37512
