Date,TotalBuy,TotalSell
05/01/2023 00:00:00,17075,6042
02/01/2023 00:00:00,108314,2137
01/01/2023 00:00:00,41490,15013
12/01/2022 00:00:00,16343,32686
06/01/2022 00:00:00,3014,6028
05/01/2022 00:00:00,12033,13531
03/01/2022 00:00:00,88058,0
02/01/2022 00:00:00,63,2678
12/01/2021 00:00:00,8987,17974
11/01/2021 00:00:00,4600,7200
09/01/2021 00:00:00,0,765
08/01/2021 00:00:00,9357,17974
07/01/2021 00:00:00,3564,7128
06/01/2021 00:00:00,7040,13357
05/01/2021 00:00:00,8663,0
04/01/2021 00:00:00,0,971
03/01/2021 00:00:00,64322,6326
02/01/2021 00:00:00,0,2593
12/01/2020 00:00:00,27084,40122
11/01/2020 00:00:00,2985,6255
10/01/2020 00:00:00,200,400
09/01/2020 00:00:00,200,400
08/01/2020 00:00:00,200,400
07/01/2020 00:00:00,200,400
06/01/2020 00:00:00,200,700
05/01/2020 00:00:00,15198,5685
04/01/2020 00:00:00,200,400
03/01/2020 00:00:00,200,400
02/01/2020 00:00:00,73603,13395
01/01/2020 00:00:00,200,400
12/01/2019 00:00:00,200,400
11/01/2019 00:00:00,23481,46482
10/01/2019 00:00:00,39700,79400
09/01/2019 00:00:00,52250,75950
08/01/2019 00:00:00,2801,6005
07/01/2019 00:00:00,17200,34400
06/01/2019 00:00:00,19049,41351
05/01/2019 00:00:00,31692,38400
04/01/2019 00:00:00,17200,34360
03/01/2019 00:00:00,22873,44952
02/01/2019 00:00:00,81293,5569
01/01/2019 00:00:00,2465,0
12/01/2018 00:00:00,14124,30373
11/01/2018 00:00:00,12900,25800
10/01/2018 00:00:00,29063,58126
09/01/2018 00:00:00,39537,79903
08/01/2018 00:00:00,35262,68524
07/01/2018 00:00:00,17875,37606
06/01/2018 00:00:00,18662,44761
05/01/2018 00:00:00,36713,46228
04/01/2018 00:00:00,23662,47324
03/01/2018 00:00:00,5000,10000
02/01/2018 00:00:00,90124,17396
01/01/2018 00:00:00,7491,10400
12/01/2017 00:00:00,2200,4690
11/01/2017 00:00:00,200,400
10/01/2017 00:00:00,200,400
09/01/2017 00:00:00,200,400
08/01/2017 00:00:00,200,400
07/01/2017 00:00:00,200,495
06/01/2017 00:00:00,3700,5400
05/01/2017 00:00:00,200,400
