Date,TotalBuy,TotalSell
06/01/2023 00:00:00,382.366,0
05/01/2023 00:00:00,12460,0
03/01/2023 00:00:00,334.222,862
02/01/2023 00:00:00,140860,30726
01/01/2023 00:00:00,1487,1487
12/01/2022 00:00:00,325.11100000000005,57
11/01/2022 00:00:00,0,5346
09/01/2022 00:00:00,315.6019999999999,0
08/01/2022 00:00:00,0,946
07/01/2022 00:00:00,798,0
06/01/2022 00:00:00,1139.874,0
05/01/2022 00:00:00,56970,87085
04/01/2022 00:00:00,922,1844
03/01/2022 00:00:00,129058.25200000001,248827
02/01/2022 00:00:00,147281,37904
12/01/2021 00:00:00,390.78100000000006,0
11/01/2021 00:00:00,5000,0
09/01/2021 00:00:00,277.346,0
08/01/2021 00:00:00,24775,50530
07/01/2021 00:00:00,6065,12130
06/01/2021 00:00:00,5954.844,11182
05/01/2021 00:00:00,20875,24835
03/01/2021 00:00:00,9148.806,29529
02/01/2021 00:00:00,160274,0
01/01/2021 00:00:00,4586,4586
12/01/2020 00:00:00,270.88000000000005,0
09/01/2020 00:00:00,1173.961,0
06/01/2020 00:00:00,563.3829999999999,1393
05/01/2020 00:00:00,16082,577
03/01/2020 00:00:00,261.35799999999995,900
02/01/2020 00:00:00,219750,53844
01/01/2020 00:00:00,5133,5133
12/01/2019 00:00:00,1142.949,1268
10/01/2019 00:00:00,0,3893
09/01/2019 00:00:00,770.873,1376
08/01/2019 00:00:00,24168,45778
06/01/2019 00:00:00,903.141,2744
05/01/2019 00:00:00,42936,64220
03/01/2019 00:00:00,125653.302,1734
02/01/2019 00:00:00,6436,29535
01/01/2019 00:00:00,28387.886,4653
12/01/2018 00:00:00,117.09100000000001,0
11/01/2018 00:00:00,24000,54515
10/01/2018 00:00:00,9,0
09/01/2018 00:00:00,792.976,0
08/01/2018 00:00:00,6,0
07/01/2018 00:00:00,9177,0
06/01/2018 00:00:00,134.799,1166
05/01/2018 00:00:00,25463,32935
04/01/2018 00:00:00,9,752
03/01/2018 00:00:00,6.893,0
02/01/2018 00:00:00,217722,11985
01/01/2018 00:00:00,12883,12874
12/01/2017 00:00:00,1832,2643
11/01/2017 00:00:00,14695,30878
10/01/2017 00:00:00,9,0
09/01/2017 00:00:00,6,0
08/01/2017 00:00:00,40109,95730
07/01/2017 00:00:00,1216,0
06/01/2017 00:00:00,41796,194
05/01/2017 00:00:00,21246,0
04/01/2017 00:00:00,10,0
03/01/2017 00:00:00,6,0
