Date,TotalBuy,TotalSell
06/01/2023 00:00:00,10664,21618
05/01/2023 00:00:00,33992,33992
04/01/2023 00:00:00,22827,0
03/01/2023 00:00:00,224729,146557
12/01/2022 00:00:00,8574,11089
11/01/2022 00:00:00,930,1203
10/01/2022 00:00:00,400,518
09/01/2022 00:00:00,0,16830
08/01/2022 00:00:00,2133,385913
07/01/2022 00:00:00,4088,5286
06/01/2022 00:00:00,25962,22385
05/01/2022 00:00:00,397773,9255
04/01/2022 00:00:00,18000,18000
03/01/2022 00:00:00,271665,115780
12/01/2021 00:00:00,51832,4392
11/01/2021 00:00:00,3253,4556
10/01/2021 00:00:00,400,543
09/01/2021 00:00:00,19351,0
08/01/2021 00:00:00,2133,2758
07/01/2021 00:00:00,12263,0
05/01/2021 00:00:00,6566,18686
04/01/2021 00:00:00,99110,63929
03/01/2021 00:00:00,302920,211834
02/01/2021 00:00:00,16739,5168
12/01/2020 00:00:00,4392,2800
11/01/2020 00:00:00,5854,26701
09/01/2020 00:00:00,93,121
08/01/2020 00:00:00,8068,10433
06/01/2020 00:00:00,13650,34531
05/01/2020 00:00:00,57337,52442
03/01/2020 00:00:00,212814,94980
02/01/2020 00:00:00,58159,28684
11/01/2019 00:00:00,6970,6400
09/01/2019 00:00:00,2012,5863
08/01/2019 00:00:00,6400,11472
06/01/2019 00:00:00,6670,7418
05/01/2019 00:00:00,29404,17563
04/01/2019 00:00:00,1230,1591
03/01/2019 00:00:00,163939,75170
02/01/2019 00:00:00,15064,5871
01/01/2019 00:00:00,4433,5827
12/01/2018 00:00:00,2526,3237
11/01/2018 00:00:00,0,3987
09/01/2018 00:00:00,2012,0
07/01/2018 00:00:00,173,222
06/01/2018 00:00:00,37966,51521
05/01/2018 00:00:00,58450,104700
04/01/2018 00:00:00,12710,24536
03/01/2018 00:00:00,321985,112366
02/01/2018 00:00:00,32350,44170
01/01/2018 00:00:00,11480,22960
12/01/2017 00:00:00,14008,28275
11/01/2017 00:00:00,13480,22960
10/01/2017 00:00:00,11480,22960
09/01/2017 00:00:00,11480,22960
07/01/2017 00:00:00,59613,2057
06/01/2017 00:00:00,75310,64903
05/01/2017 00:00:00,0,34200
