Date,TotalBuy,TotalSell
05/01/2023 00:00:00,132545,177370
02/01/2023 00:00:00,554890,425994
01/01/2023 00:00:00,400,0
12/01/2022 00:00:00,686,13977
11/01/2022 00:00:00,185805,141999
10/01/2022 00:00:00,20000,58716
08/01/2022 00:00:00,40000,33440
06/01/2022 00:00:00,0,3014
05/01/2022 00:00:00,142775,192356
02/01/2022 00:00:00,268942,51100
01/01/2022 00:00:00,400,0
11/01/2021 00:00:00,137000,148000
05/01/2021 00:00:00,225915,371109
04/01/2021 00:00:00,50000,102000
02/01/2021 00:00:00,533440,501655
01/01/2021 00:00:00,2000,0
12/01/2020 00:00:00,0,13305
11/01/2020 00:00:00,272331,640150
08/01/2020 00:00:00,153395,310864
05/01/2020 00:00:00,55850,0
02/01/2020 00:00:00,448730,237761
11/01/2019 00:00:00,202538,402486
08/01/2019 00:00:00,41450,62587
05/01/2019 00:00:00,103700,99467
02/01/2019 00:00:00,530033,60609
12/01/2018 00:00:00,900,0
11/01/2018 00:00:00,5000,1000
08/01/2018 00:00:00,7370,22367
05/01/2018 00:00:00,65925,61057
02/01/2018 00:00:00,416262,36201
11/01/2017 00:00:00,10600,21200
08/01/2017 00:00:00,2000,26836
05/01/2017 00:00:00,96874,88528
