Date,TotalBuy,TotalSell
05/01/2023 00:00:00,977,9861
03/01/2023 00:00:00,0,36090
02/01/2023 00:00:00,136247,16550
01/01/2023 00:00:00,18560,22164
11/01/2022 00:00:00,0,7503
10/01/2022 00:00:00,276,0
07/01/2022 00:00:00,17817,0
04/01/2022 00:00:00,416,0
02/01/2022 00:00:00,85523,22863
01/01/2022 00:00:00,201,0
12/01/2021 00:00:00,5000,10000
11/01/2021 00:00:00,20538,59050
10/01/2021 00:00:00,261,0
08/01/2021 00:00:00,29344,77120
07/01/2021 00:00:00,9874,0
05/01/2021 00:00:00,30672,82792
04/01/2021 00:00:00,238,0
03/01/2021 00:00:00,21165,24858
02/01/2021 00:00:00,56738,63701
01/01/2021 00:00:00,251,0
11/01/2020 00:00:00,14000,28000
10/01/2020 00:00:00,280,0
08/01/2020 00:00:00,0,15434
07/01/2020 00:00:00,5246,0
05/01/2020 00:00:00,3856,23145
04/01/2020 00:00:00,287,12393
02/01/2020 00:00:00,66921,69635
01/01/2020 00:00:00,229,0
11/01/2019 00:00:00,0,900
10/01/2019 00:00:00,12320,34563
09/01/2019 00:00:00,3000,6000
08/01/2019 00:00:00,3376,25667
07/01/2019 00:00:00,44521,58796
06/01/2019 00:00:00,6964,38263
05/01/2019 00:00:00,0,26812
04/01/2019 00:00:00,21847,34125
03/01/2019 00:00:00,97,0
02/01/2019 00:00:00,198761,137233
01/01/2019 00:00:00,135,0
12/01/2018 00:00:00,82,0
10/01/2018 00:00:00,110,0
09/01/2018 00:00:00,89,0
08/01/2018 00:00:00,3276,43941
07/01/2018 00:00:00,7442,0
06/01/2018 00:00:00,93,0
05/01/2018 00:00:00,34777,41739
04/01/2018 00:00:00,3543,6928
03/01/2018 00:00:00,3552,10929
02/01/2018 00:00:00,64811,72805
01/01/2018 00:00:00,77,1058
12/01/2017 00:00:00,54,1418
11/01/2017 00:00:00,2321,8528
10/01/2017 00:00:00,96,0
09/01/2017 00:00:00,81,0
08/01/2017 00:00:00,12763,35111
07/01/2017 00:00:00,6583,0
06/01/2017 00:00:00,70,0
05/01/2017 00:00:00,0,2057
