Date,TotalBuy,TotalSell
05/01/2023 00:00:00,89913,89913
03/01/2023 00:00:00,0,40032
02/01/2023 00:00:00,9704,138352
01/01/2023 00:00:00,917652,463751
12/01/2022 00:00:00,0,63270
11/01/2022 00:00:00,0,167707
10/01/2022 00:00:00,0,500
09/01/2022 00:00:00,0,23000
08/01/2022 00:00:00,0,8460
07/01/2022 00:00:00,0,730
05/01/2022 00:00:00,0,67338
04/01/2022 00:00:00,29662,179662
03/01/2022 00:00:00,0,238420
01/01/2022 00:00:00,690606,377077
12/01/2021 00:00:00,0,12622
11/01/2021 00:00:00,203168,285418
08/01/2021 00:00:00,0,14236
06/01/2021 00:00:00,0,215000
05/01/2021 00:00:00,0,162559
04/01/2021 00:00:00,0,75000
03/01/2021 00:00:00,3684,40000
02/01/2021 00:00:00,0,30000
01/01/2021 00:00:00,616426,261875
12/01/2020 00:00:00,108609,176609
11/01/2020 00:00:00,0,12145
08/01/2020 00:00:00,0,43533
07/01/2020 00:00:00,0,9837
06/01/2020 00:00:00,2149,0
03/01/2020 00:00:00,0,160000
02/01/2020 00:00:00,0,6113
01/01/2020 00:00:00,473377,38849
12/01/2019 00:00:00,0,15942
11/01/2019 00:00:00,0,1414
08/01/2019 00:00:00,0,2191
06/01/2019 00:00:00,0,6000
05/01/2019 00:00:00,51420,0
02/01/2019 00:00:00,0,38507
01/01/2019 00:00:00,382380,94633
11/01/2018 00:00:00,2200,4750
10/01/2018 00:00:00,444997,444997
09/01/2018 00:00:00,771,0
08/01/2018 00:00:00,0,10862
06/01/2018 00:00:00,0,28268
05/01/2018 00:00:00,0,2000
01/01/2018 00:00:00,390941,6383
12/01/2017 00:00:00,0,405
11/01/2017 00:00:00,0,10592
08/01/2017 00:00:00,0,3258
07/01/2017 00:00:00,25000,1756
06/01/2017 00:00:00,0,9407
