Date,TotalBuy,TotalSell
05/01/2023 00:00:00,12480,0
01/01/2023 00:00:00,94801,0
12/01/2022 00:00:00,0,4000
10/01/2022 00:00:00,7,0
08/01/2022 00:00:00,83616,8367
05/01/2022 00:00:00,11955,0
01/01/2022 00:00:00,147285,0
08/01/2021 00:00:00,72586,5689
05/01/2021 00:00:00,10362,0
01/01/2021 00:00:00,131322,0
08/01/2020 00:00:00,57540,215283
05/01/2020 00:00:00,12244,0
02/01/2020 00:00:00,0,15000
01/01/2020 00:00:00,135494,0
11/01/2019 00:00:00,0,48000
07/01/2019 00:00:00,70824,0
05/01/2019 00:00:00,0,29650
04/01/2019 00:00:00,11200,0
02/01/2019 00:00:00,5000,44680
01/01/2019 00:00:00,105093,0
09/01/2018 00:00:00,0,4660
08/01/2018 00:00:00,26912,0
06/01/2018 00:00:00,5500,0
05/01/2018 00:00:00,9656,3300
02/01/2018 00:00:00,0,7269
01/01/2018 00:00:00,100526,0
11/01/2017 00:00:00,0,3000
09/01/2017 00:00:00,29573,0
08/01/2017 00:00:00,0,30000
05/01/2017 00:00:00,10988,17200
04/01/2017 00:00:00,0,1250
02/01/2017 00:00:00,0,11618
01/01/2017 00:00:00,101216,0
05/01/2016 00:00:00,14720,0
02/01/2016 00:00:00,0,9455
01/01/2016 00:00:00,81235,0
09/01/2015 00:00:00,3500,0
