Date,TotalBuy,TotalSell
06/01/2023 00:00:00,41680,11276
03/01/2023 00:00:00,3214,0
01/01/2023 00:00:00,408437,156929
11/01/2022 00:00:00,0,260
10/01/2022 00:00:00,25213,0
06/01/2022 00:00:00,63522,4086
05/01/2022 00:00:00,0,37060
01/01/2022 00:00:00,452836,188990
11/01/2021 00:00:00,5371,260
06/01/2021 00:00:00,266928,349910
05/01/2021 00:00:00,0,9801
04/01/2021 00:00:00,2426,0
01/01/2021 00:00:00,250425,22637
12/01/2020 00:00:00,0,725
11/01/2020 00:00:00,4568497,11137253
10/01/2020 00:00:00,1053652,2107304
09/01/2020 00:00:00,53322,106644
08/01/2020 00:00:00,625814,1251628
06/01/2020 00:00:00,870302,1628604
05/01/2020 00:00:00,326002,650691
02/01/2020 00:00:00,2537,0
01/01/2020 00:00:00,1477183,1981965
12/01/2019 00:00:00,1045350,2094875
11/01/2019 00:00:00,0,40294
08/01/2019 00:00:00,11544600,23544600
05/01/2019 00:00:00,8070553,16006804
04/01/2019 00:00:00,1255400,2510800
01/01/2019 00:00:00,674992,0
12/01/2018 00:00:00,0,521
11/01/2018 00:00:00,0,72841
08/01/2018 00:00:00,386082,0
06/01/2018 00:00:00,35635,0
04/01/2018 00:00:00,831,0
03/01/2018 00:00:00,56370,265675
01/01/2018 00:00:00,64380,128760
12/01/2017 00:00:00,104213,10064272
11/01/2017 00:00:00,75196,10358056
10/01/2017 00:00:00,0,360000
09/01/2017 00:00:00,0,419011
08/01/2017 00:00:00,467364,387364
06/01/2017 00:00:00,826211,2258887
