Date,TotalBuy,TotalSell
06/01/2023 00:00:00,79612,354481
05/01/2023 00:00:00,833634,3275903
04/01/2023 00:00:00,0,37500
03/01/2023 00:00:00,0,75000
02/01/2023 00:00:00,0,42828
01/01/2023 00:00:00,0,30797
12/01/2022 00:00:00,162513,163310
11/01/2022 00:00:00,16306379,80957
10/01/2022 00:00:00,1099866,797
09/01/2022 00:00:00,0,797
08/01/2022 00:00:00,0,25570
06/01/2022 00:00:00,52432,7894
05/01/2022 00:00:00,14815932,17853992
04/01/2022 00:00:00,0,4566
03/01/2022 00:00:00,1073886,85431
02/01/2022 00:00:00,11734954,13892355
01/01/2022 00:00:00,56581,333222
12/01/2021 00:00:00,87588,671504
11/01/2021 00:00:00,437936,20476269
10/01/2021 00:00:00,56581,28659786
09/01/2021 00:00:00,80581,678286
08/01/2021 00:00:00,63237,687950
07/01/2021 00:00:00,59498,336120
06/01/2021 00:00:00,77596,350136
05/01/2021 00:00:00,7286573,41053372
04/01/2021 00:00:00,509498,336120
03/01/2021 00:00:00,993413,356220
02/01/2021 00:00:00,1204273,9310308
12/01/2020 00:00:00,413652,608652
11/01/2020 00:00:00,917025,1834050
09/01/2020 00:00:00,150617922,150535354
06/01/2020 00:00:00,1377583,1530166
03/01/2020 00:00:00,6818182,3719996
