Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,31370
05/01/2023 00:00:00,4331,5500
04/01/2023 00:00:00,81,0
03/01/2023 00:00:00,9550,87663
02/01/2023 00:00:00,199210,4600
01/01/2023 00:00:00,83,0
12/01/2022 00:00:00,13521,5018
11/01/2022 00:00:00,5139,0
10/01/2022 00:00:00,110,0
09/01/2022 00:00:00,90,0
08/01/2022 00:00:00,8248,52996
07/01/2022 00:00:00,83,8099
06/01/2022 00:00:00,95,16759
05/01/2022 00:00:00,38156,13505
04/01/2022 00:00:00,85,16815
03/01/2022 00:00:00,7516,46356
02/01/2022 00:00:00,289272.4716,12950
01/01/2022 00:00:00,81,0
12/01/2021 00:00:00,5378,1189
11/01/2021 00:00:00,5331,11185
10/01/2021 00:00:00,77,0
09/01/2021 00:00:00,106,0
08/01/2021 00:00:00,5184,16728
07/01/2021 00:00:00,86,0
06/01/2021 00:00:00,95,0
05/01/2021 00:00:00,3945,15000
04/01/2021 00:00:00,77,38731
03/01/2021 00:00:00,5749,104219
02/01/2021 00:00:00,230572,0
01/01/2021 00:00:00,122,0
12/01/2020 00:00:00,7027,2200
11/01/2020 00:00:00,8016,0
10/01/2020 00:00:00,160,0
09/01/2020 00:00:00,169,58978
08/01/2020 00:00:00,6861,26629
07/01/2020 00:00:00,138,7890
06/01/2020 00:00:00,191,14957
05/01/2020 00:00:00,9891,0
04/01/2020 00:00:00,193,0
03/01/2020 00:00:00,4415,4160
02/01/2020 00:00:00,215917,28000
01/01/2020 00:00:00,165,0
12/01/2019 00:00:00,9717,3238
11/01/2019 00:00:00,6182,18591
10/01/2019 00:00:00,218,20270
09/01/2019 00:00:00,289,10000
08/01/2019 00:00:00,8593,750
07/01/2019 00:00:00,270,35185
06/01/2019 00:00:00,304,16471
05/01/2019 00:00:00,9983,29134
04/01/2019 00:00:00,293,37246
03/01/2019 00:00:00,1978,9692
02/01/2019 00:00:00,217718,0
01/01/2019 00:00:00,7844,7491
12/01/2018 00:00:00,17951,12321
11/01/2018 00:00:00,10660,0
10/01/2018 00:00:00,391,0
09/01/2018 00:00:00,328,15000
08/01/2018 00:00:00,9083,7158
07/01/2018 00:00:00,293,0
06/01/2018 00:00:00,320,14181
05/01/2018 00:00:00,101905,91517
04/01/2018 00:00:00,345,2650
03/01/2018 00:00:00,17543,25973
02/01/2018 00:00:00,313963,937
01/01/2018 00:00:00,13884,13591
12/01/2017 00:00:00,6968,33260
11/01/2017 00:00:00,4533,3000
10/01/2017 00:00:00,21446,30949
09/01/2017 00:00:00,112,2496
08/01/2017 00:00:00,9781,0
07/01/2017 00:00:00,128,300
06/01/2017 00:00:00,1194,0
05/01/2017 00:00:00,8650,0
04/01/2017 00:00:00,30,0
