Date,TotalBuy,TotalSell
06/01/2023 00:00:00,710.8695,0
05/01/2023 00:00:00,4000,0
03/01/2023 00:00:00,4900,8618
02/01/2023 00:00:00,28179.608,31904
01/01/2023 00:00:00,100394,58485
12/01/2022 00:00:00,834,1868
11/01/2022 00:00:00,1376.7273,9682
10/01/2022 00:00:00,1500,1500
08/01/2022 00:00:00,454.1919,45716
07/01/2022 00:00:00,28002,0
05/01/2022 00:00:00,451.85720000000003,0
03/01/2022 00:00:00,0,8415
02/01/2022 00:00:00,22856.4756,24259
01/01/2022 00:00:00,56436,26335
12/01/2021 00:00:00,0,3879
11/01/2021 00:00:00,45585.283599999995,92716
10/01/2021 00:00:00,0,2200
09/01/2021 00:00:00,0,2200
08/01/2021 00:00:00,393.7427,4830
07/01/2021 00:00:00,0,2200
06/01/2021 00:00:00,0,4557
05/01/2021 00:00:00,23817.923000000003,48567
04/01/2021 00:00:00,0,2911
03/01/2021 00:00:00,50413,103969
02/01/2021 00:00:00,98441.50899999999,162672
01/01/2021 00:00:00,38813,17626
12/01/2020 00:00:00,14553.81,30102
11/01/2020 00:00:00,79,12570
10/01/2020 00:00:00,0,17600
08/01/2020 00:00:00,743.19,5750
07/01/2020 00:00:00,301,0
06/01/2020 00:00:00,447.76,0
05/01/2020 00:00:00,782.2861,22
03/01/2020 00:00:00,3094,2318
02/01/2020 00:00:00,25682.2704,12941
01/01/2020 00:00:00,30843,51543
12/01/2019 00:00:00,476.9332,1288
11/01/2019 00:00:00,4302.3094,16220
09/01/2019 00:00:00,0,800
08/01/2019 00:00:00,816.4815,25309
07/01/2019 00:00:00,0,1177
06/01/2019 00:00:00,16.0849,0
05/01/2019 00:00:00,323.9878,14422
04/01/2019 00:00:00,0,800
03/01/2019 00:00:00,14.4802,1504
02/01/2019 00:00:00,38593.8913,6615
01/01/2019 00:00:00,0,11158
12/01/2018 00:00:00,161.7995,147
11/01/2018 00:00:00,4744.3309,7005
10/01/2018 00:00:00,20984,38509
09/01/2018 00:00:00,7890.3089,18654
08/01/2018 00:00:00,14769.5762,30864
07/01/2018 00:00:00,0,3370
06/01/2018 00:00:00,2832,5339
05/01/2018 00:00:00,1195.5859,8335
04/01/2018 00:00:00,0,32082
03/01/2018 00:00:00,1500.334,0
02/01/2018 00:00:00,26583.116,21342
01/01/2018 00:00:00,17803,30194
12/01/2017 00:00:00,13.4707,1862
11/01/2017 00:00:00,1073.1867,2556
09/01/2017 00:00:00,1500,0
08/01/2017 00:00:00,1886.0616,2415
06/01/2017 00:00:00,0,34407
