Date,TotalBuy,TotalSell
03/01/2023 00:00:00,714,0
02/01/2023 00:00:00,244479,48687
12/01/2022 00:00:00,523006,304874
11/01/2022 00:00:00,106970,225594
09/01/2022 00:00:00,1100,0
08/01/2022 00:00:00,29000,0
06/01/2022 00:00:00,107256,201672
05/01/2022 00:00:00,53300,0
04/01/2022 00:00:00,204937,403652
03/01/2022 00:00:00,116752,126733
02/01/2022 00:00:00,458548,217950
01/01/2022 00:00:00,5000,30485
12/01/2021 00:00:00,45838,93721
11/01/2021 00:00:00,50391,100782
09/01/2021 00:00:00,8730,0
08/01/2021 00:00:00,7000,0
05/01/2021 00:00:00,175569,57649
04/01/2021 00:00:00,8956,11389
03/01/2021 00:00:00,246380,0
02/01/2021 00:00:00,164679,162883
12/01/2020 00:00:00,40179,78259
11/01/2020 00:00:00,19000,24209
07/01/2020 00:00:00,0,28432
06/01/2020 00:00:00,34358,34358
05/01/2020 00:00:00,345977,8850
04/01/2020 00:00:00,5392,6685
03/01/2020 00:00:00,56978,30235
02/01/2020 00:00:00,740879,98897
12/01/2019 00:00:00,7819,7854
11/01/2019 00:00:00,9352,0
09/01/2019 00:00:00,2891,0
08/01/2019 00:00:00,33196,0
06/01/2019 00:00:00,7206,5795
05/01/2019 00:00:00,138044,89039
04/01/2019 00:00:00,27330,3232
03/01/2019 00:00:00,113100,152428
02/01/2019 00:00:00,710912,32633
12/01/2018 00:00:00,89209,93144
11/01/2018 00:00:00,31000,18056
10/01/2018 00:00:00,12500,18056
09/01/2018 00:00:00,21688,118056
08/01/2018 00:00:00,12500,18056
07/01/2018 00:00:00,12500,18056
06/01/2018 00:00:00,18162,23851
05/01/2018 00:00:00,143935,18056
04/01/2018 00:00:00,15000,21269
03/01/2018 00:00:00,112123,149946
02/01/2018 00:00:00,412590,2887
01/01/2018 00:00:00,0,176491
12/01/2017 00:00:00,165666,10324694
11/01/2017 00:00:00,22500,74086
10/01/2017 00:00:00,12500,18362
09/01/2017 00:00:00,19516,18362
08/01/2017 00:00:00,12500,18212
07/01/2017 00:00:00,12500,18212
06/01/2017 00:00:00,58640,18212
05/01/2017 00:00:00,75367,63743
04/01/2017 00:00:00,43751,63743
03/01/2017 00:00:00,205832,355066
02/01/2017 00:00:00,213954,15033334
