Date,TotalBuy,TotalSell
06/01/2023 00:00:00,19165.229,31202
05/01/2023 00:00:00,10920,5770
02/01/2023 00:00:00,265917,100169
01/01/2023 00:00:00,7000,11357
12/01/2022 00:00:00,4589.8099999999995,6284
11/01/2022 00:00:00,0,63
08/01/2022 00:00:00,0,340
06/01/2022 00:00:00,7409.893,10586
05/01/2022 00:00:00,8950,0
02/01/2022 00:00:00,226523,113654
12/01/2021 00:00:00,1156.652,0
11/01/2021 00:00:00,17946,33065.036
09/01/2021 00:00:00,61500,80037.0978
08/01/2021 00:00:00,10000,134631
06/01/2021 00:00:00,10700.49,9024
05/01/2021 00:00:00,8350,0
03/01/2021 00:00:00,0,216
02/01/2021 00:00:00,175648,66382
01/01/2021 00:00:00,9071.5529,12883.5529
12/01/2020 00:00:00,1553.86,0
11/01/2020 00:00:00,0,3000
10/01/2020 00:00:00,4900,7951
08/01/2020 00:00:00,630,961
06/01/2020 00:00:00,2598.467,0
05/01/2020 00:00:00,14850,0
03/01/2020 00:00:00,5000,0
02/01/2020 00:00:00,203181,89367
12/01/2019 00:00:00,4942.6,0
11/01/2019 00:00:00,0,643
09/01/2019 00:00:00,14000,28000
08/01/2019 00:00:00,0,8354
07/01/2019 00:00:00,23600,37651
06/01/2019 00:00:00,9860.518,21571.88
05/01/2019 00:00:00,9320,0
03/01/2019 00:00:00,0,2789
02/01/2019 00:00:00,228394,89252
01/01/2019 00:00:00,27078.6917,41756.691699999996
12/01/2018 00:00:00,2118.584,0
11/01/2018 00:00:00,1955,0
09/01/2018 00:00:00,3500,0
06/01/2018 00:00:00,61333.432,119260
05/01/2018 00:00:00,60620,101828
02/01/2018 00:00:00,227712,86956
01/01/2018 00:00:00,31350,58403
12/01/2017 00:00:00,64155.24000000001,92338
09/01/2017 00:00:00,4425,10100
06/01/2017 00:00:00,32880.723,43991
03/01/2017 00:00:00,11332.7845,5533.9168
02/01/2017 00:00:00,143068,28020
