Date,TotalBuy,TotalSell
05/01/2023 00:00:00,157128,81794
03/01/2023 00:00:00,151688,93569
02/01/2023 00:00:00,613803,254457
01/01/2023 00:00:00,0,1500
12/01/2022 00:00:00,24400,0
11/01/2022 00:00:00,513486,411263
10/01/2022 00:00:00,0,1500
08/01/2022 00:00:00,68517,68517
07/01/2022 00:00:00,0,1500
06/01/2022 00:00:00,0,8907
05/01/2022 00:00:00,126061,0
04/01/2022 00:00:00,0,5500
02/01/2022 00:00:00,1066888,280585
12/01/2021 00:00:00,0,2905
11/01/2021 00:00:00,22068,26734
10/01/2021 00:00:00,0,152500
09/01/2021 00:00:00,104823,255457
08/01/2021 00:00:00,0,4500
07/01/2021 00:00:00,0,6000
06/01/2021 00:00:00,0,24793
05/01/2021 00:00:00,31944,4500
04/01/2021 00:00:00,0,81000
03/01/2021 00:00:00,0,196799
02/01/2021 00:00:00,158580,1500
01/01/2021 00:00:00,10000,17000
12/01/2020 00:00:00,0,57128
11/01/2020 00:00:00,0,1500
10/01/2020 00:00:00,0,25750
09/01/2020 00:00:00,0,8601
08/01/2020 00:00:00,1875,80924
07/01/2020 00:00:00,3815,113072
05/01/2020 00:00:00,19120,0
04/01/2020 00:00:00,4509,0
03/01/2020 00:00:00,603,125094
02/01/2020 00:00:00,235758,10000
01/01/2020 00:00:00,13235,90176
12/01/2019 00:00:00,1562,9847
11/01/2019 00:00:00,0,3000
09/01/2019 00:00:00,20684,22044
07/01/2019 00:00:00,0,21861
06/01/2019 00:00:00,38536,67308
05/01/2019 00:00:00,23778,45082
03/01/2019 00:00:00,0,67097
02/01/2019 00:00:00,392151,151509
12/01/2018 00:00:00,0,1105
09/01/2018 00:00:00,0,772
08/01/2018 00:00:00,2532,1688
06/01/2018 00:00:00,177334,377058
05/01/2018 00:00:00,32474,100108
03/01/2018 00:00:00,17264,287010
02/01/2018 00:00:00,290457,30457
01/01/2018 00:00:00,897,1794
12/01/2017 00:00:00,0,28092
11/01/2017 00:00:00,58630,298331
10/01/2017 00:00:00,50000,0
09/01/2017 00:00:00,58491,378453
08/01/2017 00:00:00,6562,13124
07/01/2017 00:00:00,10000,172000
06/01/2017 00:00:00,12692,138583
05/01/2017 00:00:00,57505,1372543
