Date,TotalBuy,TotalSell
06/01/2023 00:00:00,8603,17206
05/01/2023 00:00:00,22370,23037
04/01/2023 00:00:00,21521.626,55216
03/01/2023 00:00:00,0,12910
02/01/2023 00:00:00,367430,210990
01/01/2023 00:00:00,21543.477,55206
12/01/2022 00:00:00,12753,0
11/01/2022 00:00:00,1303,3728
10/01/2022 00:00:00,345.329,2412
09/01/2022 00:00:00,5294,0
08/01/2022 00:00:00,9865,58417
07/01/2022 00:00:00,78395.139,228672
06/01/2022 00:00:00,0,11689
05/01/2022 00:00:00,29472,6799
04/01/2022 00:00:00,27153.191,79712
03/01/2022 00:00:00,5000,18126
02/01/2022 00:00:00,352286,148141
01/01/2022 00:00:00,5309.004,10000
11/01/2021 00:00:00,0,854
10/01/2021 00:00:00,391.334,0
08/01/2021 00:00:00,25000,0
07/01/2021 00:00:00,359.84900000000005,766
06/01/2021 00:00:00,699,1258
05/01/2021 00:00:00,33749,1728
04/01/2021 00:00:00,4207.615,12111
03/01/2021 00:00:00,0,7923
02/01/2021 00:00:00,361065,191763
01/01/2021 00:00:00,314.679,0
12/01/2020 00:00:00,0,3391
11/01/2020 00:00:00,18883,7944
10/01/2020 00:00:00,9037.56,19245
08/01/2020 00:00:00,14560,32827
07/01/2020 00:00:00,5952.528,12242
06/01/2020 00:00:00,28265,33744
05/01/2020 00:00:00,395235,808980
04/01/2020 00:00:00,21178.876,42547
03/01/2020 00:00:00,0,40090
02/01/2020 00:00:00,355932,394143
01/01/2020 00:00:00,108487.74100000001,219920
12/01/2019 00:00:00,35000,70000
11/01/2019 00:00:00,302429,608542
10/01/2019 00:00:00,165356.533,334588
08/01/2019 00:00:00,61328,30664
07/01/2019 00:00:00,10882.220000000001,8500
06/01/2019 00:00:00,101858,122433
05/01/2019 00:00:00,212582,277209
04/01/2019 00:00:00,19850.873,18374
02/01/2019 00:00:00,597678,356825
01/01/2019 00:00:00,25141.375,30671
12/01/2018 00:00:00,11618,20809
11/01/2018 00:00:00,45520,23052
10/01/2018 00:00:00,15888.991,34657
08/01/2018 00:00:00,24859,49718
07/01/2018 00:00:00,53968.66,107440
06/01/2018 00:00:00,207197,395010
05/01/2018 00:00:00,6426,13674
04/01/2018 00:00:00,110935.695,204685
03/01/2018 00:00:00,23750,47500
02/01/2018 00:00:00,500994,174899
01/01/2018 00:00:00,227515.905,517910
12/01/2017 00:00:00,1289,137578
11/01/2017 00:00:00,25448,51584
10/01/2017 00:00:00,11795.376,277225
09/01/2017 00:00:00,9566,0
08/01/2017 00:00:00,26999,53998
07/01/2017 00:00:00,578259.942,1168985
06/01/2017 00:00:00,2577,15468
