Date,TotalBuy,TotalSell
06/01/2023 00:00:00,0,16000
05/01/2023 00:00:00,13861,4457
04/01/2023 00:00:00,37544,0
03/01/2023 00:00:00,86691,49424
02/01/2023 00:00:00,46708,36368
01/01/2023 00:00:00,0,13922
12/01/2022 00:00:00,0,325
09/01/2022 00:00:00,0,21736
08/01/2022 00:00:00,0,8000.15
05/01/2022 00:00:00,520,6876.888
04/01/2022 00:00:00,28249,0
03/01/2022 00:00:00,126798,101392
02/01/2022 00:00:00,297665,29464
01/01/2022 00:00:00,1398406,2666
08/01/2021 00:00:00,0,275
05/01/2021 00:00:00,40801,0
04/01/2021 00:00:00,11699,0
03/01/2021 00:00:00,0,8163
02/01/2021 00:00:00,133869,184988
01/01/2021 00:00:00,1101,7236
11/01/2020 00:00:00,7500,0
10/01/2020 00:00:00,0,359
07/01/2020 00:00:00,2560,0
05/01/2020 00:00:00,17500,0
04/01/2020 00:00:00,42049,0
03/01/2020 00:00:00,51802,4169
02/01/2020 00:00:00,65226,29697
01/01/2020 00:00:00,3000,2601
11/01/2019 00:00:00,0,8000
10/01/2019 00:00:00,0,1000
08/01/2019 00:00:00,4000,0
07/01/2019 00:00:00,12857.395,29714.79
05/01/2019 00:00:00,0,600
04/01/2019 00:00:00,9800,5500
03/01/2019 00:00:00,19287,1391
02/01/2019 00:00:00,120088,115626
01/01/2019 00:00:00,22996,68855
12/01/2018 00:00:00,0,70000
11/01/2018 00:00:00,2000,4000
10/01/2018 00:00:00,10616,158792
09/01/2018 00:00:00,249.524,3686
08/01/2018 00:00:00,876,110419
07/01/2018 00:00:00,14555.1533,110590.051
05/01/2018 00:00:00,53783,93981
04/01/2018 00:00:00,109749,182877
03/01/2018 00:00:00,0,1050
02/01/2018 00:00:00,171409,89351
01/01/2018 00:00:00,0,4453
12/01/2017 00:00:00,1225,4359.388
10/01/2017 00:00:00,130527,228855
08/01/2017 00:00:00,19984,52135
07/01/2017 00:00:00,0,8000
05/01/2017 00:00:00,8836,23910
04/01/2017 00:00:00,17793,17863
03/01/2017 00:00:00,50208,90023
02/01/2017 00:00:00,0,485
