Date,TotalBuy,TotalSell
05/01/2023 00:00:00,5470,424402
04/01/2023 00:00:00,0,531588
03/01/2023 00:00:00,497040,193656
12/01/2022 00:00:00,2212,3083
11/01/2022 00:00:00,0,1086168
08/01/2022 00:00:00,0,621438
07/01/2022 00:00:00,2512,2512
06/01/2022 00:00:00,0,1104672
05/01/2022 00:00:00,40432,1383806
04/01/2022 00:00:00,0,1521732
03/01/2022 00:00:00,5937420,10432299
12/01/2021 00:00:00,2211,2750
11/01/2021 00:00:00,0,498390
10/01/2021 00:00:00,3039,4235
09/01/2021 00:00:00,471442,27372
08/01/2021 00:00:00,0,1072638
07/01/2021 00:00:00,2512,0
05/01/2021 00:00:00,150000,1823020
04/01/2021 00:00:00,0,784578
03/01/2021 00:00:00,14763432,28184288
02/01/2021 00:00:00,122369,141748
01/01/2021 00:00:00,3361,3361
12/01/2020 00:00:00,152212,386227
11/01/2020 00:00:00,0,663042
10/01/2020 00:00:00,3038,4021
08/01/2020 00:00:00,0,406212
05/01/2020 00:00:00,0,446478
03/01/2020 00:00:00,299259,76059
02/01/2020 00:00:00,104825,137134
01/01/2020 00:00:00,3361,0
12/01/2019 00:00:00,6635,0
11/01/2019 00:00:00,0,343344
10/01/2019 00:00:00,3039,3779
09/01/2019 00:00:00,0,25900
08/01/2019 00:00:00,0,33546
05/01/2019 00:00:00,0,1850988
04/01/2019 00:00:00,0,2336382
03/01/2019 00:00:00,18452301,36586145
02/01/2019 00:00:00,177309,186826
11/01/2018 00:00:00,0,42408
10/01/2018 00:00:00,9116,0
07/01/2018 00:00:00,4912518,33231152
02/01/2018 00:00:00,229668823,73663872
