Date,TotalBuy,TotalSell
05/01/2023 00:00:00,111,0
03/01/2023 00:00:00,154660,0
02/01/2023 00:00:00,193889,158714
01/01/2023 00:00:00,5031,416
12/01/2022 00:00:00,400,400
09/01/2022 00:00:00,298,0
08/01/2022 00:00:00,98702,199532
07/01/2022 00:00:00,95207,160024
04/01/2022 00:00:00,32156,103873
03/01/2022 00:00:00,228414,66796
02/01/2022 00:00:00,296135,126110
01/01/2022 00:00:00,4544,195
12/01/2021 00:00:00,460,6000
10/01/2021 00:00:00,16447,28633
08/01/2021 00:00:00,62748,110080
07/01/2021 00:00:00,33411,75974
06/01/2021 00:00:00,186055,319686.457
05/01/2021 00:00:00,4430,8860.6487
03/01/2021 00:00:00,904,27246
02/01/2021 00:00:00,485979,207769
01/01/2021 00:00:00,5468,602
12/01/2020 00:00:00,49809,99222
11/01/2020 00:00:00,70384,140458
08/01/2020 00:00:00,31076,62152
07/01/2020 00:00:00,5872,630
05/01/2020 00:00:00,0,270
03/01/2020 00:00:00,84197,154262
02/01/2020 00:00:00,604350,266342
01/01/2020 00:00:00,5654,822
12/01/2019 00:00:00,530,530
11/01/2019 00:00:00,6674,18871
10/01/2019 00:00:00,0,1541
09/01/2019 00:00:00,21352,34110
08/01/2019 00:00:00,532,0
07/01/2019 00:00:00,89344,169453
05/01/2019 00:00:00,0,1973.2579999999998
04/01/2019 00:00:00,42795,85590
02/01/2019 00:00:00,431418,44638
01/01/2019 00:00:00,6337,1041
12/01/2018 00:00:00,11987,20384
11/01/2018 00:00:00,63499,90049
10/01/2018 00:00:00,76222,138505
09/01/2018 00:00:00,11682,20609
07/01/2018 00:00:00,7050,1158
05/01/2018 00:00:00,201,12034
04/01/2018 00:00:00,0,1083
02/01/2018 00:00:00,577043,267572.71
01/01/2018 00:00:00,7599,1103
12/01/2017 00:00:00,2744,0
11/01/2017 00:00:00,1899,6336
10/01/2017 00:00:00,13629,24907
07/01/2017 00:00:00,52372,81556
05/01/2017 00:00:00,0,7000
04/01/2017 00:00:00,0,13297
03/01/2017 00:00:00,101218,207393
