Date,TotalBuy,TotalSell
06/01/2023 00:00:00,16323,93748
05/01/2023 00:00:00,29445,193623
04/01/2023 00:00:00,0,120000
03/01/2023 00:00:00,1992,0
02/01/2023 00:00:00,0,64730
01/01/2023 00:00:00,0,130000
12/01/2022 00:00:00,0,9158
11/01/2022 00:00:00,0,61200
10/01/2022 00:00:00,0,9000
09/01/2022 00:00:00,21310,16000
08/01/2022 00:00:00,0,197642
07/01/2022 00:00:00,2894,3236
06/01/2022 00:00:00,0,140400
05/01/2022 00:00:00,2600,275185
04/01/2022 00:00:00,0,47200
03/01/2022 00:00:00,0,255000
02/01/2022 00:00:00,0,163000
01/01/2022 00:00:00,0,170000
12/01/2021 00:00:00,0,248400
11/01/2021 00:00:00,0,182000
10/01/2021 00:00:00,0,255600
09/01/2021 00:00:00,0,598006
08/01/2021 00:00:00,0,296172
07/01/2021 00:00:00,11580,294000
06/01/2021 00:00:00,0,141600
05/01/2021 00:00:00,0,397804
04/01/2021 00:00:00,0,50000
03/01/2021 00:00:00,0,50000
02/01/2021 00:00:00,0,70000
01/01/2021 00:00:00,0,95000
12/01/2020 00:00:00,0,120000
11/01/2020 00:00:00,0,399986
10/01/2020 00:00:00,0,347913
09/01/2020 00:00:00,0,324556
08/01/2020 00:00:00,0,111400
