Date,% Higher,% Same,% Lower,Net,Index
2023-08-01,14.0,68.0,18.0,-4.0,48.5
2023-07-01,9.4,73.2,17.4,-8.0,44.4
2023-06-01,15.5,68.1,16.4,-0.9,48.1
2023-05-01,17.0,67.2,15.8,1.2,51.4
2023-04-01,17.9,66.5,15.6,2.3,50.2
2023-03-01,13.7,69.3,17.0,-3.3,46.9
2023-02-01,13.8,71.0,15.2,-1.4,49.1
2023-01-01,15.2,67.8,17.0,-1.8,50.6
2022-12-01,15.6,67.5,16.9,-1.3,51.4
2022-11-01,12.8,70.6,16.6,-3.8,48.4
2022-10-01,16.0,68.9,15.1,0.9,50.0
2022-09-01,17.5,60.3,22.2,-4.7,48.7
2022-08-01,19.3,68.3,12.4,6.9,54.2
2022-07-01,22.0,59.4,18.6,3.4,49.9
2022-06-01,17.9,63.7,18.4,-0.5,47.3
2022-05-01,21.8,55.4,22.8,-1.0,49.6
2022-04-01,21.0,61.9,17.1,3.9,50.9
2022-03-01,24.4,65.2,10.4,14.0,56.3
2022-02-01,21.6,62.4,16.0,5.6,52.9
2022-01-01,19.2,65.7,15.1,4.1,54.5
2021-12-01,15.5,72.2,12.3,3.2,53.9
2021-11-01,20.5,64.6,14.9,5.6,53.0
2021-10-01,21.3,62.8,15.9,5.4,52.1
2021-09-01,17.0,65.7,17.3,-0.3,50.2
2021-08-01,20.3,58.2,21.5,-1.2,49.0
2021-07-01,26.1,57.8,16.0,10.1,52.9
2021-06-01,26.6,54.1,19.3,7.3,49.9
2021-05-01,20.8,61.1,18.0,2.8,50.9
2021-04-01,21.2,67.9,10.9,10.3,55.1
2021-03-01,23.9,69.0,7.2,16.7,59.6
2021-02-01,19.2,68.5,12.3,6.9,54.4
2021-01-01,13.9,72.2,13.8,0.1,52.6
2020-12-01,14.9,68.8,16.3,-1.4,51.7
2020-11-01,14.8,66.4,18.9,-4.1,48.3
2020-10-01,23.1,59.3,17.7,5.4,52.1
2020-09-01,19.4,58.9,21.7,-2.3,49.6
2020-08-01,17.1,59.3,23.6,-6.5,46.4
2020-07-01,15.3,59.9,24.7,-9.4,44.3
2020-06-01,14.6,58.8,26.6,-12.0,42.1
2020-05-01,7.6,51.2,41.1,-33.5,32.1
2020-04-01,2.8,50.7,46.6,-43.8,27.5
2020-03-01,8.6,70.1,21.3,-12.7,43.8
2020-02-01,11.7,69.1,19.2,-7.5,46.9
2020-01-01,11.7,66.0,22.3,-10.6,46.6
2019-12-01,11.5,63.7,24.8,-13.3,45.2
2019-11-01,13.9,64.9,21.2,-7.3,46.8
2019-10-01,16.3,62.3,21.4,-5.1,47.9
2019-09-01,14.6,62.3,23.0,-8.4,46.3
2019-08-01,15.0,66.0,19.0,-4.0,47.4
2019-07-01,19.2,66.3,14.5,4.7,51.7
2019-06-01,26.2,61.2,12.6,13.6,54.5
2019-05-01,23.1,63.6,13.2,9.9,53.7
2019-04-01,19.6,68.0,12.4,7.2,52.4
2019-03-01,24.9,63.7,11.5,13.4,57.5
2019-02-01,18.2,68.7,13.2,5.0,52.3
2019-01-01,17.6,71.1,11.3,6.3,55.5
2018-12-01,18.6,70.7,10.7,7.9,56.0
2018-11-01,22.7,69.1,8.2,14.5,57.7
2018-10-01,22.5,67.2,10.3,12.2,56.5
2018-09-01,26.1,62.9,11.0,15.1,58.8
2018-08-01,26.6,63.6,9.8,16.8,58.5
2018-07-01,27.1,61.2,11.7,15.4,56.5
2018-06-01,29.0,59.6,11.3,17.7,56.0
2018-05-01,27.6,61.2,11.3,16.3,56.3
2018-04-01,23.1,66.8,10.2,12.9,54.2
2018-03-01,22.9,66.3,10.8,12.2,57.3
2018-02-01,28.4,61.8,9.8,18.7,59.7
2018-01-01,17.6,70.6,11.8,5.8,54.2
2017-12-01,20.3,71.6,8.2,12.1,58.1
2017-11-01,22.9,70.0,7.0,15.9,59.2
2017-10-01,24.2,69.3,6.6,17.6,59.8
2017-09-01,24.0,69.0,7.0,17.0,60.3
2017-08-01,26.0,67.0,7.0,19.0,59.9
2017-07-01,24.0,66.0,10.0,14.0,55.2
2017-06-01,28.0,61.0,11.0,17.0,57.2
2017-05-01,23.0,65.0,12.0,11.0,53.5
2017-04-01,24.0,63.0,13.0,11.0,52.0
2017-03-01,27.0,62.0,11.0,16.0,58.9
2017-02-01,21.0,66.0,13.0,8.0,54.2
2017-01-01,21.0,66.0,13.0,8.0,56.1
2016-12-01,15.0,73.0,12.0,3.0,52.8
2016-11-01,15.0,72.0,13.0,2.0,52.5
2016-10-01,20.0,62.0,18.0,2.0,52.9
2016-09-01,17.0,63.0,20.0,-3.0,49.7
2016-08-01,16.0,65.0,19.0,-3.0,48.3
2016-07-01,17.0,68.0,15.0,2.0,49.4
2016-06-01,22.0,58.0,20.0,2.0,50.4
2016-05-01,20.0,62.0,18.0,2.0,49.2
2016-04-01,24.0,57.0,19.0,5.0,49.2
2016-03-01,15.0,66.0,19.0,-4.0,48.1
2016-02-01,15.0,67.0,18.0,-3.0,48.5
2016-01-01,11.0,67.0,22.0,-11.0,45.9
2015-12-01,10.0,73.0,17.0,-7.0,48.0
2015-11-01,15.0,69.0,16.0,-1.0,50.8
2015-10-01,12.0,68.0,20.0,-8.0,47.7
2015-09-01,17.0,64.0,19.0,-2.0,50.5
2015-08-01,18.0,65.0,17.0,1.0,51.2
2015-07-01,19.0,69.0,12.0,7.0,52.7
2015-06-01,25.0,62.0,13.0,12.0,55.5
2015-05-01,20.0,68.0,12.0,8.0,51.7
2015-04-01,16.0,72.0,12.0,4.0,48.3
2015-03-01,17.0,68.0,15.0,2.0,50.0
2015-02-01,18.0,68.0,14.0,4.0,51.4
2015-01-01,15.0,75.0,10.0,5.0,54.1
2014-12-01,19.0,70.0,11.0,8.0,56.8
2014-11-01,21.0,63.0,16.0,5.0,54.9
2014-10-01,19.0,69.0,12.0,7.0,55.5
2014-09-01,21.0,64.0,15.0,6.0,54.6
2014-08-01,25.0,63.0,12.0,13.0,58.1
2014-07-01,23.0,68.0,9.0,14.0,58.2
2014-06-01,23.0,63.0,14.0,9.0,52.8
2014-05-01,24.0,64.0,12.0,12.0,52.8
2014-04-01,29.0,60.0,11.0,18.0,54.7
2014-03-01,21.0,64.0,15.0,6.0,51.1
2014-02-01,20.0,67.0,13.0,7.0,52.3
2014-01-01,16.0,70.0,14.0,2.0,52.3
2013-12-01,19.0,68.0,13.0,6.0,55.8
2013-11-01,18.0,70.0,12.0,6.0,55.4
2013-10-01,21.0,63.0,16.0,5.0,54.3
2013-09-01,20.0,66.0,14.0,6.0,54.8
2013-08-01,22.0,63.0,15.0,7.0,55.0
2013-07-01,21.0,67.0,12.0,9.0,55.5
2013-06-01,19.0,65.0,16.0,3.0,50.0
2013-05-01,22.0,60.0,18.0,4.0,49.0
2013-04-01,26.0,57.0,17.0,9.0,50.5
2013-03-01,24.0,60.0,16.0,8.0,52.1
2013-02-01,21.0,65.0,14.0,7.0,52.2
2013-01-01,17.0,71.0,12.0,5.0,53.8
2012-12-01,19.0,62.0,19.0,0.0,52.7
2012-11-01,15.0,63.0,22.0,-7.0,48.8
2012-10-01,24.0,55.0,21.0,3.0,53.1
2012-09-01,23.0,59.0,18.0,5.0,54.3
2012-08-01,19.0,65.0,16.0,3.0,52.9
2012-07-01,20.0,65.0,15.0,5.0,53.3
2012-06-01,29.0,57.0,14.0,15.0,55.8
2012-05-01,30.0,59.0,11.0,19.0,56.0
2012-04-01,34.0,54.0,12.0,22.0,56.5
2012-03-01,25.0,63.0,12.0,13.0,54.6
2012-02-01,26.0,58.0,16.0,10.0,53.6
2012-01-01,23.0,59.0,18.0,5.0,54.0
2011-12-01,23.0,58.0,19.0,4.0,55.0
2011-11-01,22.0,57.0,21.0,1.0,53.0
2011-10-01,22.0,63.0,15.0,7.0,55.1
2011-09-01,22.0,62.0,16.0,6.0,54.8
2011-08-01,22.0,63.0,15.0,7.0,54.9
2011-07-01,24.0,63.0,13.0,11.0,56.1
2011-06-01,34.0,56.0,10.0,24.0,60.3
2011-05-01,31.0,60.0,9.0,22.0,57.2
