Date,% Better,% Same,% Worse,Net,Index
2023-07-01,15.4,61.2,23.4,-8.0,47.3
2023-06-01,17.7,57.7,24.6,-6.9,45.6
2023-05-01,16.3,54.0,29.7,-13.4,42.6
2023-04-01,25.2,48.2,26.6,-1.4,45.7
2023-03-01,19.6,56.0,24.4,-4.8,44.3
2023-02-01,21.3,54.6,24.1,-2.8,47.0
2023-01-01,15.4,50.3,34.3,-18.9,42.5
2022-12-01,15.8,52.7,31.5,-15.7,45.2
2022-11-01,12.7,62.3,25.0,-12.3,47.2
2022-10-01,18.3,56.4,25.3,-7.0,49.2
2022-09-01,16.0,62.8,21.2,-5.2,47.1
2022-08-01,17.5,63.1,19.4,-1.9,51.3
2022-07-01,17.2,63.0,19.8,-2.6,48.0
2022-06-01,17.8,65.1,17.1,0.7,49.2
2022-05-01,28.2,58.5,13.3,14.9,55.1
2022-04-01,25.1,64.0,10.9,14.2,53.5
2022-03-01,28.2,60.4,11.4,16.8,53.8
2022-02-01,32.5,61.4,6.1,26.4,61.7
2022-01-01,25.0,60.5,14.5,10.5,57.9
2021-12-01,24.6,64.6,10.8,13.8,61.0
2021-11-01,23.4,66.0,10.6,12.8,61.4
2021-10-01,29.7,58.3,12.0,17.7,60.6
2021-09-01,36.6,54.3,9.1,27.5,66.7
2021-08-01,38.0,52.8,9.2,28.8,66.7
2021-07-01,34.7,62.0,3.3,31.4,64.9
2021-06-01,42.1,49.7,8.2,33.9,66.0
2021-05-01,46.9,43.1,10.0,36.9,67.0
2021-04-01,48.7,43.4,7.9,40.8,64.3
2021-03-01,45.3,49.2,5.5,39.8,68.0
2021-02-01,42.4,51.2,6.4,36.0,64.8
2021-01-01,37.0,51.0,12.0,25.0,61.1
2020-12-01,40.3,45.1,14.6,25.7,67.5
2020-11-01,35.9,50.1,14.0,21.9,65.7
2020-10-01,40.3,49.2,10.5,29.8,66.9
2020-09-01,35.2,45.9,18.9,16.3,60.2
2020-08-01,39.7,47.4,12.9,26.8,67.6
2020-07-01,41.1,40.0,18.8,22.3,61.5
2020-06-01,37.3,38.9,23.9,13.4,56.4
2020-05-01,21.2,26.0,52.9,-31.7,31.8
2020-04-01,17.7,22.7,59.7,-42.0,27.1
2020-03-01,23.5,44.4,32.1,-8.6,42.2
2020-02-01,28.8,49.1,22.0,6.8,49.8
2020-01-01,24.8,54.4,20.8,4.0,52.0
2019-12-01,18.6,51.2,30.2,-11.6,47.6
2019-11-01,20.5,48.3,31.2,-10.7,46.8
2019-10-01,20.5,51.0,28.5,-8.0,48.9
2019-09-01,18.8,55.2,26.0,-7.2,47.3
2019-08-01,17.5,56.6,25.9,-8.4,47.2
2019-07-01,23.0,52.1,24.9,-1.9,50.8
