Date,Consumer expectations
1970-03-01,75.8
1970-06-01,71.2
1970-09-01,75.7
1970-12-01,71.3
1971-03-01,75.9
1971-06-01,75.9
1971-09-01,78.4
1971-12-01,77.2
1972-03-01,90.9
1972-06-01,82.2
1972-09-01,91.3
1972-12-01,87.8
1973-03-01,73.3
1973-06-01,67.3
1973-09-01,63
1973-12-01,67.1
1974-03-01,49.4
1974-06-01,63.9
1974-09-01,57.6
1974-12-01,51.2
1975-03-01,50
1975-06-01,69.8
1975-09-01,70.7
1975-12-01,69.9
1976-03-01,81.2
1976-06-01,79.5
1976-09-01,85.5
1976-12-01,85.9
1977-03-01,84.2
1977-06-01,83.6
1977-09-01,81.5
1977-12-01,75.9
1978-02-01,75.7
1978-03-01,77.2
1978-04-01,69.5
1978-05-01,71.1
1978-06-01,73
1978-07-01,68.1
1978-08-01,72
1978-09-01,67
1978-10-01,69.8
1978-11-01,71.7
1978-12-01,62.8
1979-01-01,53.8
1979-02-01,58.4
1979-03-01,62.2
1979-04-01,53.7
1979-05-01,53.3
1979-06-01,54.9
1979-07-01,51.4
1979-08-01,44.2
1979-09-01,49.3
1979-10-01,53.6
1979-11-01,49.5
1979-12-01,52
1980-01-01,51.5
1980-02-01,54.1
1980-03-01,54.9
1980-04-01,44.3
1980-05-01,44.4
1980-06-01,45.3
1980-07-01,53
1980-08-01,53.4
1980-09-01,59.6
1980-10-01,67.9
1980-11-01,69.6
1980-12-01,76.9
1981-01-01,60.4
1981-02-01,67.9
1981-03-01,62.1
1981-04-01,62.1
1981-05-01,68.8
1981-06-01,73.6
1981-07-01,71.2
1981-08-01,67.1
1981-09-01,70.8
1981-10-01,69
1981-11-01,62.2
1981-12-01,56.3
1982-01-01,56.8
1982-02-01,62.9
1982-03-01,58.7
1982-04-01,53.1
1982-05-01,61.1
1982-06-01,62
1982-07-01,60.1
1982-08-01,57.6
1982-09-01,60.9
1982-10-01,66.9
1982-11-01,70.4
1982-12-01,71
1983-01-01,67.9
1983-02-01,65.2
1983-03-01,71.2
1983-04-01,80.9
1983-05-01,86.9
1983-06-01,93.4
1983-07-01,89.2
1983-08-01,90.5
1983-09-01,88.2
1983-10-01,85.8
1983-11-01,86.1
1983-12-01,87.9
1984-01-01,91
1984-02-01,97
1984-03-01,93.2
1984-04-01,97.7
1984-05-01,91.4
1984-06-01,90.6
1984-07-01,89.8
1984-08-01,91.9
1984-09-01,93.7
1984-10-01,96.4
1984-11-01,91.6
1984-12-01,91.5
1985-01-01,87.9
1985-02-01,90.3
1985-03-01,86.5
1985-04-01,87.3
1985-05-01,87
1985-06-01,84.2
1985-07-01,91.1
1985-08-01,87.4
1985-09-01,86.3
1985-10-01,84.2
1985-11-01,80.8
1985-12-01,84.5
1986-01-01,88.1
1986-02-01,85.3
1986-03-01,87.8
1986-04-01,86.9
1986-05-01,88.5
1986-06-01,87.5
1986-07-01,90.3
1986-08-01,88.5
1986-09-01,85.9
1986-10-01,81.3
1986-11-01,87.1
1986-12-01,81.6
1987-01-01,78.3
1987-02-01,80.9
1987-03-01,81.6
1987-04-01,83.3
1987-05-01,84.7
1987-06-01,80.6
1987-07-01,80.8
1987-08-01,83.3
1987-09-01,85.8
1987-10-01,84.2
1987-11-01,80.4
1987-12-01,72.7
1988-01-01,76.7
1988-02-01,80.9
1988-03-01,81.9
1988-04-01,85.2
1988-05-01,82.4
1988-06-01,87.3
1988-07-01,85.7
1988-08-01,82.3
1988-09-01,88.8
1988-10-01,89.5
1988-11-01,87
1988-12-01,86.3
1989-01-01,85.5
1989-02-01,89.9
1989-03-01,88.8
1989-04-01,87.6
1989-05-01,83.2
1989-06-01,80.1
1989-07-01,82
1989-08-01,85.5
1989-09-01,80.3
1989-10-01,88.6
1989-11-01,87.2
1989-12-01,84.3
1990-01-01,85.5
1990-02-01,83.4
1990-03-01,81.3
1990-04-01,81.3
1990-05-01,83.9
1990-06-01,79.3
1990-07-01,76.6
1990-08-01,77.3
1990-09-01,62.9
1990-10-01,58.8
1990-11-01,50.9
1990-12-01,52.8
1991-01-01,53.7
1991-02-01,55.2
1991-03-01,62
1991-04-01,84.5
1991-05-01,74.7
1991-06-01,71.5
1991-07-01,75.9
1991-08-01,74.4
1991-09-01,75.3
1991-10-01,76.4
1991-11-01,70.5
1991-12-01,61.9
1992-01-01,61.5
1992-02-01,59.1
1992-03-01,61.8
1992-04-01,70.3
1992-05-01,70.5
1992-06-01,71.2
1992-07-01,70.7
1992-08-01,67.6
1992-09-01,69.5
1992-10-01,67.4
1992-11-01,67.5
1992-12-01,78.2
1993-01-01,89.5
1993-02-01,83.4
1993-03-01,80.6
1993-04-01,75.8
1993-05-01,76.4
1993-06-01,68.5
1993-07-01,70.4
1993-08-01,64.7
1993-09-01,65.8
1993-10-01,66.8
1993-11-01,72.5
1993-12-01,70.3
1994-01-01,78.8
1994-02-01,86.4
1994-03-01,83.5
1994-04-01,85.1
1994-05-01,82.6
1994-06-01,84.2
1994-07-01,82.7
1994-08-01,78.5
1994-09-01,80.8
1994-10-01,83.5
1994-11-01,85.1
1994-12-01,84.8
1995-01-01,88.8
1995-02-01,88.4
1995-03-01,85.9
1995-04-01,79.8
1995-05-01,83.8
1995-06-01,80.1
1995-07-01,84.1
1995-08-01,87.4
1995-09-01,86.1
1995-10-01,78.8
1995-11-01,80.8
1995-12-01,79.7
1996-01-01,83.7
1996-02-01,78.7
1996-03-01,77.8
1996-04-01,86.2
1996-05-01,83
1996-06-01,79.2
1996-07-01,84
1996-08-01,86.5
1996-09-01,87.3
1996-10-01,90.1
1996-11-01,89.9
1996-12-01,93.9
1997-01-01,91.8
1997-02-01,91.3
1997-03-01,94.9
1997-04-01,93.6
1997-05-01,92.5
1997-06-01,96.6
1997-07-01,98.9
1997-08-01,102.6
1997-09-01,100.3
1997-10-01,100.7
1997-11-01,102.8
1997-12-01,102.3
1998-01-01,96.1
1998-02-01,102.2
1998-03-01,104.2
1998-04-01,101.9
1998-05-01,104.3
1998-06-01,101.7
1998-07-01,99.3
1998-08-01,100
1998-09-01,98.3
1998-10-01,93.9
1998-11-01,87.5
1998-12-01,94.3
1999-01-01,91.9
1999-02-01,95.7
1999-03-01,103.6
1999-04-01,99
1999-05-01,97.4
1999-06-01,97.6
1999-07-01,99.8
1999-08-01,99.2
1999-09-01,98.4
1999-10-01,101.5
1999-11-01,97.1
1999-12-01,101
2000-01-01,101.1
2000-02-01,108.6
2000-03-01,107.8
2000-04-01,101.7
2000-05-01,103.7
2000-06-01,104.8
2000-07-01,100.8
2000-08-01,104.5
2000-09-01,104
2000-10-01,103.4
2000-11-01,100.7
2000-12-01,101.6
2001-01-01,90.7
2001-02-01,86.4
2001-03-01,80.8
2001-04-01,83.9
2001-05-01,82.2
2001-06-01,85.4
2001-07-01,86.9
2001-08-01,88.4
2001-09-01,85.2
2001-10-01,73.5
2001-11-01,75.5
2001-12-01,76.6
2002-01-01,82.3
2002-02-01,91.3
2002-03-01,87.2
2002-04-01,92.7
2002-05-01,89.1
2002-06-01,92.7
2002-07-01,87.9
2002-08-01,81
2002-09-01,80.6
2002-10-01,79.9
2002-11-01,73.1
2002-12-01,78.5
2003-01-01,80.8
2003-02-01,72.8
2003-03-01,69.9
2003-04-01,69.6
2003-05-01,79.3
2003-06-01,91.4
2003-07-01,86.4
2003-08-01,83.7
2003-09-01,82.5
2003-10-01,80.8
2003-11-01,83
2003-12-01,88.1
2004-01-01,89.8
2004-02-01,100.1
2004-03-01,88.5
2004-04-01,88.8
2004-05-01,87.3
2004-06-01,81.6
2004-07-01,88.5
2004-08-01,91.2
2004-09-01,88.2
2004-10-01,88
