Code,Name,Naics1,Nacis2,Duns,Website
1,3a Composites USA Inc,331313,322299,15-205-7683,3acompositesusa.com
2,Total Transit Inc,485310,,18-259-4960 - Archived Record,totalride.com
3,G & H Diversified Mfg LP,333514,332312,00-806-5641,ghdiv.com
4,Hickory Branch Corporation,111310,,08-878-2776,floridasnatural.com
5,George Fischer Inc,333998,423720,04-928-2908,signet-gf.com
6,Aladdin Manufacturing Corp,314110,,12-093-0102 - Archived Record,mohawkind.com
7,Ardagh,424990,,08-041-0539 - Archived Record,
8,Nn Inc,332991,,03-790-5247,nninc.com
9,Buzzn Bee Farms Inc,112910,424930,08-008-8537,buzznbee.com
10,Springs Window Fashions LLC,337920,,09-855-0437,swfcontract.com
11,Maronda Systems Inc Florida,321214,,60-952-6371 - Archived Record,marondahomes.com
12,Whibco Inc,212322,212321,00-699-2309 - Archived Record,
13,Pure Energy Coal LLC,423520,,09-667-2049,
14,Lighthouse Document Tech Inc,541199,541512,92-697-4403,lighthouseglobal.com
15,Williams International Co LLC,336412,336415,00-640-1970 - Archived Record,
16,Third Circuit Court of Appeal,922110,,96-556-1921 - Archived Record,
17,Bbg Inc,531320,,83-106-9161,bbgres.com
18,J D Steel Co Inc,238190,332312,05-690-3867,jdsteel.com
19,Indianpls-Mrion Cnty Pub Lib F,519210,,06-280-7391,indyplfoundation.org
20,Quotient Technology Inc,541810,,96-362-9899,quotient.com
21,Crosslands A A Rentl & Sls Co,532310,,06-227-0715 - Archived Record,
22,Seah Steel USA LLC,333519,,08-062-5276,seahsteelusa.com
23,Flower City Printing Inc,322212,323111,05-159-0735 - Archived Record,fcp.biz
24,Ascension Health Alliance,524114,456110,07-869-3230,ascension.org
25,Forest Lawn Memorial-Park Assn,459310,812220,02-824-5025,forestlawn.com
26,Goodwill Inds Orange Cnty Cal,459510,,07-815-6551,ocgoodwill.org
27,Crocs Inc,316210,,06-398-8120,locations.crocs.com
28,Swarovski Lighting Ltd,335131,,05-937-2664,schonbek.com
29,Main Farm,111150,111140,15-527-7932,
30,MGM Grand Detroit LLC,721120,722511,08-491-8791 - Archived Record,mgmresorts.com
31,Bono Care LLC,541410,,13-756-7400,
32,Inter-American Defense Board,928120,,02-030-2154 - Archived Record,
33,Western Digital Tech Inc,334112,,83-106-9245,westerndigital.com
34,Powco of Louisiana LLC,333995,,79-140-8388,
35,Cherokee Nation Businesses LLC,336413,423840,14-218-2901,cherokeenationbusinesses.com
36,Cubesmart,493110,531110,78-861-7640 - Archived Record,
37,Justice and Pub Safety Cab KY,922190,,92-735-0215 - Archived Record,
38,Azz Inc,335999,335313,00-801-2148 - Archived Record,azz.com
39,Foot Locker Specialty Inc,448150,454110,00-699-2457 - Archived Record,
40,Wente Bros,312130,541614,00-919-2881,wentevineyards.com
41,Tennessee Safety Department,922190,,87-829-7415 - Archived Record,
42,Boats Group LLC,541870,,18-951-8389,boatsgroup.com
43,Bwt LLC,332811,,78-319-7184,aterianpartners.com
44,Electric Boat Corporation,336611,541330,96-373-7366 - Archived Record,gdeb.com
45,Harry Erickson,112930,,08-668-9924 - Archived Record,
46,Gamesa Wind Pa LLC,221115,,60-254-9680 - Archived Record,
47,Cardinal Scale Mfg Co,333997,,00-715-3505 - Archived Record,cardinalscale.com
48,Canine Incorporated,812910,,10-767-4244,mansbestfriend.com
49,O C Tanner Company,339910,323111,00-194-7688,octanner.com
50,Michigan Milk Producers Assn,424430,311514,00-538-2460,mimilk.com
