Date,Description,Link,EarningRelated
27/09/2023 00:00:00,lululemon and Peloton Announce Five-Year Strategic Global Partnership,,0
21/09/2023 00:00:00,"lululemon’s Third Annual Global Wellbeing Report Reveals the “Wellbeing Dilemma”: Though People Are Increasingly Prioritizing It, It’s Not Improving",,0
13/09/2023 00:00:00,Shane Grant Joins lululemon Board of Directors,,0
31/08/2023 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2023 Results,,1
17/08/2023 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2023 Earnings Conference Call,,1
03/08/2023 00:00:00,lululemon Announces the Formation of Mental Wellbeing Global Advisory Board,,0
01/06/2023 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2023 Results,,1
23/05/2023 00:00:00,"lululemon Announces New FURTHER Initiative, a First-of-its-Kind Ultramarathon for Women",,0
18/05/2023 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2023 Earnings Conference Call,,1
28/03/2023 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2022 Results,,1
14/03/2023 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2022 Earnings Conference Call,,1
09/01/2023 00:00:00,lululemon athletica inc. Updates Revenue and Earnings Expectations for the Fourth Quarter Ahead of the ICR Conference,,1
08/12/2022 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2022 Results,,1
23/11/2022 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2022 Earnings Conference Call,,1
08/11/2022 00:00:00,Isabel Ge Mahe Joins lululemon Board of Directors,,0
28/09/2022 00:00:00,"lululemon Studio, a New Fitness Platform, Launches on October 5th",,0
01/09/2022 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2022 Results,,1
18/08/2022 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2022 Earnings Conference Call,,1
05/07/2022 00:00:00,"lululemon Expands International Footprint, Launching in Spain",,0
02/06/2022 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2022 Results,,1
19/05/2022 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2022 Earnings Conference Call,,1
20/04/2022 00:00:00,lululemon Announces Five-Year Growth Plan to Double Revenue by 2026 to $12.5 Billion,,0
13/04/2022 00:00:00,lululemon athletica inc. Announces Upcoming Analyst Day,,0
12/04/2022 00:00:00,lululemon Expands Like New Resale Program to All U.S. Stores Beginning This Earth Day,,0
29/03/2022 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2021 Results; Board of Directors Authorizes $1.0 Billion Stock Repurchase Program,,1
15/03/2022 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2021 Earnings Conference Call,,1
08/03/2022 00:00:00,lululemon Reveals First-Ever Footwear Collection—Made for Women First,,0
08/02/2022 00:00:00,lululemon Releases Second Annual Global Wellbeing Report,,0
27/01/2022 00:00:00,Alison Loehnis Joins lululemon Board of Directors,,0
10/01/2022 00:00:00,lululemon athletica inc. Updates Revenue and Earnings Expectations for the Fourth Quarter Ahead of the ICR Conference,,1
06/01/2022 00:00:00,lululemon names Michael Aragon as CEO of MIRROR,,0
09/12/2021 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2021 Results,,1
24/11/2021 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2021 Earnings Conference Call,,1
08/10/2021 00:00:00,lululemon Launches Centre for Social Impact to Further Advance Equity in Wellbeing,,0
07/10/2021 00:00:00,lululemon Brings MIRROR to Canada,,0
23/09/2021 00:00:00,lululemon Partners with COC and CPC as Official Outfitter of Team Canada through 2028,,0
08/09/2021 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2021 Results,,1
26/08/2021 00:00:00,"lululemon Continues to Expand Employee Benefits, Raising Minimum Base Pay",,0
25/08/2021 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2021 Earnings Conference Call,,1
18/08/2021 00:00:00,lululemon Partners with Leading Sustainable Materials Innovator Genomatica to Bring Bio-Nylon to Products,,0
03/06/2021 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2021 Results,,1
20/05/2021 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2021 Earnings Conference Call,,1
20/04/2021 00:00:00,lululemon Delivers on its Impact Agenda Commitments with Two New Sustainability Initiatives Launching in May,,0
30/03/2021 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2020 Results,,1
16/03/2021 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2020 Earnings Conference Call,,1
01/02/2021 00:00:00,lululemon Establishes Global Benchmark for Wellbeing with New Report,,0
11/01/2021 00:00:00,lululemon athletica inc. Updates Revenue and Earnings Expectations for the Fourth Quarter Ahead of the ICR Conference,,1
10/12/2020 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2020 Results,,1
25/11/2020 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2020 Earnings Conference Call,,1
20/11/2020 00:00:00,Lululemon Names Meghan Frank Chief Financial Officer,,0
19/11/2020 00:00:00,Lululemon Expands Board of Directors With Appointment of Kourtney Gibson,,0
30/10/2020 00:00:00,"lululemon athletica Inc. Announces Leadership Appointments as Company Continues to Focus on Growth, Innovation, and Diversity & Inclusion",,0
28/10/2020 00:00:00,"lululemon athletica Inc. Releases Impact Agenda, Unveiling its Social and Environmental Goals and Strategies to Create a Healthier Future",,0
08/09/2020 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2020 Results,,1
25/08/2020 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2020 Earnings Conference Call,,1
29/06/2020 00:00:00,lululemon athletica inc. to Acquire Home Fitness Innovator MIRROR,,0
11/06/2020 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2020 Results,,1
28/05/2020 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2020 Earnings Conference Call,,1
21/05/2020 00:00:00,Lululemon Athletica Inc. Provides Update on Phased Global Store Reopening Plan,,0
16/04/2020 00:00:00,Lululemon Athletica Inc. Announces Departure of Chief Financial Officer,,0
02/04/2020 00:00:00,Lululemon Athletica Inc. Provides Update on COVID-19 Employee Support Plan,,0
26/03/2020 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2019 Results,,1
15/03/2020 00:00:00,lululemon athletica Provides Business Update on COVID-19,,0
12/03/2020 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2019 Earnings Conference Call,,1
21/02/2020 00:00:00,lululemon athletica inc. Provides Update on China Operations,,0
13/01/2020 00:00:00,lululemon athletica inc. Updates Guidance for the Fourth Quarter of Fiscal 2019 Ahead of the ICR Conference,,0
08/01/2020 00:00:00,lululemon Appoints Nikki Neuburger Chief Brand Officer,,0
11/12/2019 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2019 Results,,1
09/12/2019 00:00:00,lululemon Announces Departure of Chief Operating Officer,,0
27/11/2019 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2019 Earnings Conference Call,,1
08/10/2019 00:00:00,lululemon and the United Nations Foundation Launch New Program to Address Mental and Physical Health of UN Humanitarian Aid Workers,,0
05/09/2019 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2019 Results,,1
22/08/2019 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2019 Earnings Conference Call,,1
17/07/2019 00:00:00,Stephanie Ferris Joins lululemon Board of Directors,,0
