Date,Description,Link,EarningRelated
08/08/2023 00:00:00,Q124 Earnings Conference Call,,1
08/08/2023 00:00:00,UNDER ARMOUR REPORTS FIRST QUARTER FISCAL 2024 RESULTS; MAINTAINS FISCAL 2024 OUTLOOK,,1
01/08/2023 00:00:00,"UNDER ARMOUR LAUNCHES NEW ""UA REWARDS"" LOYALTY PROGRAM",,0
12/07/2023 00:00:00,UNDER ARMOUR ANNOUNCES FIRST QUARTER FISCAL 2024 EARNINGS CONFERENCE CALL DATE,,1
28/06/2023 00:00:00,UNDER ARMOUR ANNOUNCES CHANGES TO EXECUTIVE LEADERSHIP TEAM,,0
31/05/2023 00:00:00,BDT & MSD PARTNERS INVEST IN UNDER ARMOUR,,0
09/05/2023 00:00:00,Q423 Earnings Conference Call,,1
09/05/2023 00:00:00,UNDER ARMOUR REPORTS FOURTH QUARTER AND FULL-YEAR FISCAL 2023 RESULTS; PROVIDES INITIAL FISCAL 2024 OUTLOOK,,1
24/04/2023 00:00:00,UNDER ARMOUR ANNOUNCES ITS FOURTH QUARTER AND FULL YEAR FISCAL 2023 EARNINGS CONFERENCE CALL DATE,,1
30/03/2023 00:00:00,UNDER ARMOUR AND STEPHEN CURRY ENTER LONG-TERM PARTNERSHIP,,0
08/02/2023 00:00:00,Q323 Earnings Conference Call,,1
08/02/2023 00:00:00,UNDER ARMOUR REPORTS THIRD QUARTER FISCAL 2023 RESULTS; UPDATES FULL-YEAR OUTLOOK,,1
31/01/2023 00:00:00,UNDER ARMOUR APPOINTS CAROLYN EVERSON AND PATRICK WHITESELL TO ITS BOARD OF DIRECTORS,,0
25/01/2023 00:00:00,UNDER ARMOUR ANNOUNCES ITS THIRD QUARTER FISCAL 2023 EARNINGS CONFERENCE CALL DATE,,1
21/12/2022 00:00:00,UNDER ARMOUR ANNOUNCES STEPHANIE LINNARTZ AS PRESIDENT AND CEO,,0
11/11/2022 00:00:00,MARYLAND GOVERNOR-ELECT WES MOORE STEPS DOWN FROM UNDER ARMOUR'S BOARD OF DIRECTORS,,0
03/11/2022 00:00:00,UNDER ARMOUR REPORTS SECOND QUARTER FISCAL 2023 RESULTS; UPDATES FULL-YEAR OUTLOOK,,1
20/10/2022 00:00:00,UNDER ARMOUR ANNOUNCES ITS SECOND QUARTER FISCAL 2023 EARNINGS CONFERENCE CALL DATE,,1
05/10/2022 00:00:00,UNDER ARMOUR ANNOUNCES CHANGES TO EXECUTIVE LEADERSHIP TEAM,,0
27/09/2022 00:00:00,"Under Armour Releases 2021 Sustainability & Impact Report, Outlines New Strategic Framework, Goals, and Targets",,0
03/08/2022 00:00:00,UNDER ARMOUR REPORTS FIRST QUARTER FISCAL 2023 RESULTS; UPDATES FULL-YEAR OUTLOOK,,1
20/07/2022 00:00:00,UNDER ARMOUR ANNOUNCES FIRST QUARTER FISCAL 2023 EARNINGS CONFERENCE CALL DATE,,1
18/05/2022 00:00:00,UNDER ARMOUR ANNOUNCES CEO TRANSITION,,0
06/05/2022 00:00:00,"UNDER ARMOUR REPORTS RESULTS FOR TRANSITION QUARTER ENDED MARCH 31, 2022; PROVIDES INITIAL FISCAL 2023 OUTLOOK",,1
22/04/2022 00:00:00,"UNDER ARMOUR ANNOUNCES TRANSITION QUARTER ENDED MARCH 31, 2022 EARNINGS CONFERENCE CALL DATE",,1
25/02/2022 00:00:00,UNDER ARMOUR ANNOUNCES $300 MILLION ACCELERATED SHARE REPURCHASE AGREEMENTS,,0
23/02/2022 00:00:00,UNDER ARMOUR ANNOUNCES A $500 MILLION SHARE REPURCHASE PROGRAM,,0
11/02/2022 00:00:00,UNDER ARMOUR REPORTS FOURTH QUARTER AND FULL-YEAR 2021 RESULTS; DELIVERS RECORD FULL-YEAR REVENUE AND EARNINGS,,1
27/01/2022 00:00:00,UNDER ARMOUR ANNOUNCES FOURTH QUARTER AND FULL-YEAR 2021 EARNINGS CONFERENCE CALL DATE,,1
02/11/2021 00:00:00,Under Armour Reports Third Quarter 2021 Results; Raises Full Year Outlook,,1
20/10/2021 00:00:00,Under Armour Announces Third Quarter 2021 Earnings and Conference Call Date,,1
14/10/2021 00:00:00,Under Armour Appoints Massimo Baratto As Chief Consumer Officer,,0
19/08/2021 00:00:00,Under Armour Enters Into Exchange Agreements With Certain 1.50 Percent Convertible Senior Noteholders,,0
16/08/2021 00:00:00,Yum! Brands CEO David Gibbs Appointed To Under Armour Board Of Directors,,0
03/08/2021 00:00:00,Under Armour Reports Second Quarter 2021 Results; Raises Full Year Outlook,,1
20/07/2021 00:00:00,Under Armour Announces Second Quarter 2021 Earnings And Conference Call Date,,1
27/05/2021 00:00:00,Under Armour Enters Into Exchange Agreements With Certain 1.50 Percent Convertible Senior Noteholders,,0
19/05/2021 00:00:00,Under Armour Increases its Minimum Pay Rate to $15 Per Hour,,0
04/05/2021 00:00:00,Under Armour Reports First Quarter 2021 Results; Raises Full Year Outlook,,1
03/05/2021 00:00:00,Under Armour Announces Settlement of Previously Disclosed Securities and Exchange Commission Matter,,0
20/04/2021 00:00:00,Under Armour Announces First Quarter 2021 Earnings And Conference Call Date,,1
10/02/2021 00:00:00,Under Armour Reports Fourth Quarter And Full Year 2020 Results; Provides Initial 2021 Outlook,,1
27/01/2021 00:00:00,Under Armour Announces Fourth Quarter And Full Year 2020 Earnings And Conference Call Date,,1
18/12/2020 00:00:00,Under Armour Completes Sale Of The MyFitnessPal Platform To Francisco Partners,,0
01/12/2020 00:00:00,Under Armour and Stephen Curry Launch Curry Brand,,0
30/10/2020 00:00:00,Under Armour Enters Into Definitive Agreement To Sell The MyFitnessPal Platform To Francisco Partners,,0
30/10/2020 00:00:00,Under Armour Reports Third Quarter 2020 Results; Provides Outlook For 2020,,1
16/10/2020 00:00:00,Under Armour Announces Third Quarter 2020 Earnings And Conference Call Date,,1
04/09/2020 00:00:00,Under Armour Announces Thanksgiving Store Closures,,0
03/09/2020 00:00:00,Robin Hood CEO Wes Moore Joins Under Armour Board of Directors,,0
31/07/2020 00:00:00,Under Armour Reports Second Quarter 2020 Results,,1
17/07/2020 00:00:00,Under Armour Announces Second Quarter 2020 Earnings And Conference Call Date,,1
28/05/2020 00:00:00,Under Armour Announces Phased Store Reopenings in North America,,0
22/05/2020 00:00:00,Under Armour Upsizes And Prices Private Offering Of $440 Million In Convertible Senior Notes Due 2024,,0
21/05/2020 00:00:00,Under Armour To Offer $400 Million Convertible Senior Notes Due 2024,,0
18/05/2020 00:00:00,Under Armour Board Of Directors Names Mohamed A. El-Erian As Lead Independent Director,,0
11/05/2020 00:00:00,Under Armour Reports First Quarter 2020 Results and Highlights Efforts to Manage Through Impacts of COVID-19,,1
20/04/2020 00:00:00,Under Armour Announces First Quarter 2020 Earnings And Conference Call Date,,1
15/04/2020 00:00:00,Under Armour Names Lisa Collier As Chief Product Officer,,0
03/04/2020 00:00:00,"Under Armour Announces Actions To Address Financial Impacts Related To COVID-19, Provides Additional Detail On Its 2020 Restructuring Plan",,0
15/03/2020 00:00:00,"Under Armour, Inc. Statement",,0
11/02/2020 00:00:00,Under Armour Reports Fourth Quarter and Full Year 2019 Results; Provides Initial 2020 Outlook,,1
05/02/2020 00:00:00,Under Armour Announces Colin Browne As Chief Operating Officer And Paul Fipps As Chief Experience Officer,,0
28/01/2020 00:00:00,Under Armour Announces Fourth Quarter And Full Year 2019 Earnings And Conference Call Date,,1
